Russian	Predicted	Truth
к себя он приглашать я бояться но однажды он напрашиваться ко я на чай и увидеть мой условие жизнь предлагать пожениться и переезжать к он	1ps себя 1ps приглашать 3ps н-о вдруг 1ps обратиться 1ps im	1ps себя дом страшный 1ps приглашать 3ps н-о вдруг о-н 3ps обратиться 1ps imp чай пить о-н 3ps видеть 1ps poss 1ps условие2 все жизнь видеть imp жениться и переезд к 3ps
и вы обязательно нужно давать ответ рассказывать	2ps обязанность нужда ответ 3ps	2ps pl обязательно нужда ответ pl рассказ pl ответ pl
когда мы отжимать волос вода на они оставаться	н-о 1ps жать вода clf clf.вода clf.на clf 	н-о 1ps жать вода clf clf.вода clf.на clf.волосах что необходимость вода оставаться indx есть
хотеть продолжать тема созависимость пренебрежение себя	привет	привет
пищевой волокно связывать большой количество вода в кишечник превращать е в гель который затрудянуть усвоение углевод что сказываться на снижение уровень колебание сахар в кровь	пищеварение волокна связать большой внутри.себя вода кишечник пре	еда волокна успех связь3 только2 больше жидкий вода кишечник успех изменять <dact> и успех <dact> indx конец и успех 3ps давать 1ps уменьшать2 уровень колебание кровь
в строчка выбирать вариант или	строчка связать <nums> 2ps выбрать <nums> ответ	строчка связать <nums> 2ps выбрать <nums> ответ
когда появляться проблема нужно быстро придумывать как они решать	проблема2 indx быстрый придумывать <dact> решать	проблема2 появляться быстро решать что придумывать быстро решать
потом я становиться искать какой-нибудь конкурс и наш л один который проводить среди слышать проводиться он два или три день в общий сложность	1ps искать 1ps гап 2ps что соревнование indx говорить соревнование <nums>	1ps искать соревнование indx говорить соревнование 1ps все включено это все включено говорить соревнование <nums> день <nums> день <nums> факт2 indx дактилировать
у я быть я крутой у я быть связь	1ps мочь круто 1ps связь2 есть	1ps мочь круто 1ps связь2 есть
я тоже хотеть ходить на бал	1ps тоже желание ходить праздник	1ps тоже желание посещать pl clf clf.пышная clf.юбка танцевать <dact>
мы знать это животное по мультфильм оно выглядеть так мило что мы и не думать о то что оно опасный а оно опасный	знать это животное2 мультфильм2 интересный н-о 3ps думать	знать вы животное2 мультфильм2 интересный clf clf.милая clf.пушистая clf.мордочка милый 3ps думать неопасный н-о 3ps опасный есть
наш организация существовать с го год	poss 1ps организация существовать <nums> год	это poss 1ps pl организация существовать уже <nums> год
видеть по-разному	видеть разный	видеть разный
второй шаг	второй шаг	второй шаг <dact>
что вообще мочь сделать мы счастливый легко и быстро	как вообще что делать на 1ps мочь мы делать счастье очень легко2	как вообще что влиять на 1ps мочь мы делать счастье очень легко2 быстро2
подруга рассказывать о свой проблема я тоже поделиться свой	подруга 3ps рассказывать 1ps собственность проблема2 1ps рассказывать 3ps делить	друг 3ps рассказывать 1ps собственность проблема2 3ps рассказывать 1ps 1ps тоже 1ps рассказывать 3ps делить
хорошо	хорошо	хорошо
немного зима посмотреть и лето быть	зима смотреть лето бывает	немного зима смотреть2 лето есть
хитрый	хитрый	хитрый
номер три это животное который называться древолаз	<dact> назвать животное <dact>	еще есть животное2 назвать <dact>
а человек видеть мир по-разному	а человекpl видеть различный	а человек pl видеть различный
в год в павловск построить ленинградский восстановительный центр	<nums> год павловск <nums> год стройка ленинград восстанавливать центр	смотреть <nums> год <nums> год павловск <dact> indx стройка clf ленинград восстанавливать центр
мой бабушка не любить гулять ночь	poss 1ps бабушка2 не.любить гулять ночь	poss 1ps бабушка2 не.любить гулять ночь
нет так нет ну и ладно	нет2 так нет2	нет2 так нет2 н-у
такой человек называть элита	такой2 человекpl назвать <dact>	новый все человек pl назвать <dact>
сейчас я видеть весь больше и больше небольшой команда который пытаться что-то делать как-то развиваться	сейчас 1ps видеть больше маленький3 команда indx и-п сам2 достиг	сейчас всё 1ps видеть больше маленький3 команда и-п сам2 достигать так развивать
ребенок весь понимать	все понимать2.наизусть	все дети понимать2.наизусть
няня весь собирать и выбрасывать а мальчик давать новый белый с блестящий мех	няня все собирать2 выбрасывать все4 и выбрасывать мальчик да	няня2 ладно собирать2 выбросить2 мальчик давать новый белый мех блестящий
для кто-то нужно утяжеление для кто-то чтобы быть разглаживание	кто тяжелый clf clf.волосы clf.тяжелые clf.	<dact> кто тяжелый clf clf.волосы clf.тяжелые <dact> кто clf clf.волосы clf.гладкие clf clf.волосы clf.лежат clf clf.волосы что был
начальник говорить мы же готовый он взять у мы быть такой рабочий место но по факт человек с инвалидность никогда не пойд т на это место	начальник говорить мы готовый принять такой место н-о факт2 человек	начальник говорить мы готовый принять такой место у 1ps есть приглашать но п-о факт2 никогда это место инвалид вступить.не
ты должный позвонить мама а то она будет беспокоиться	2ps должен мама 3ps звонить.по.телефону 3ps волнение будет	2ps должен мама 1ps звонить.по.телефону 3ps 3ps волнение будет
я сидеть в свой комната учиться не пойти но жить на что-то надо быть	1ps сидеть комната2 учиться нет нужно деньги жизнь	всегда2 сидеть комната учиться нет нужно деньги жизнь
я обращаться и в другой место например в вога и там я тоже оформлять письмо поддержка такой образ уже они у я быть несколько	1ps обращаться 1ps другой место пример 1ps <dact> indx 1ps тоже оформлять письмо	другой pl посещаемость надеяться indx и 1ps тоже <dact> 1ps обращаться <dact> тоже indx 3ps поддерживать 1ps печать 1ps повезло clf clf.складывать clf.письма clf.вместе уже
я не нравиться яркий одежда	1ps яркий светлый одежда2 не нравиться	1ps яркий светлый одежда2 не нравиться
глупый	глупый	дурак
сейчас для наш человек это возможность действительно заниматься любимый дело	сейчас начать наш человек это возможность действительно заниматься любимый дело	сейчас мы человек pl это возможность действительно работа любить работа
если педагог видеть что он разговаривать хорошо и весь понимать то он без проблема идти в отделение и учиться год	если разговаривать2 хорошо понимать все <nums> подразделение год <nums> учить2	если смотреть ребенок разговаривать2 хорошо понимать все <nums> подразделение год <nums> учить2 не
потом домой приходить и мама просить еще урок проводить	потом домой приходить мама просить еще урок проводить	домой мама еще считать3 уроки
например двое мой ребенок говорить на жестовый язык	дополнение пример poss 1ps дети2 говорить на жестовом языке	дополнение пример poss 1ps дети <nums> глухой не говорить на жестовом языке
почему у мы в россия это не популярный	почему 1ps россия популярный нет2 почему	1ps россия популярный нет2 почему
журналист просто бер т этот новость и публиковать на сайт с красивый картинка	3ps взять 1ps публиковать 3ps отправлять 3ps <dact> красивый картина	1ps взять публиковать 1ps отправлять 3ps <dact> красивый картина
я жить в краснодарский край	1ps жить кавказ место краснодар территория	1ps жить кавказ место краснодар территория
нужно изучать основа чтобы иметь общий пердставление о они чтобы экскурсовод мочь об этоя рассказывать	основной2 нужда изучать что получать общий <dact> indx кто экскурсия человек	основной2 нужда изучать что общий получать воображение 3ps pl рассказ indx будет экскурсия человек экскурсия человек
я вы совсем не знать но я кажется готовый смотреть в ваш глаз вечность	дорогой девочка знакомый не 1ps 2ps совсем не знать н-о 1ps	дорогой девочка знакомый не 1ps 2ps совсем не знать н-о 1ps казаться 1ps poss 2ps глаз pl готовый зрительный.контакт вечность
а этот мужчина быть сантехник который чинить прорыв канализация и который обливать дерьмо тома давать он халат муж и разрешать подождать пока он привозить чистый вещь	а мужчина2 это сантехник сантехник еда сантехник туалет канализация	а мужчина2 это кто сантехник <dact> сантехник 1ps исправлять 3ps туалет канализация clf clf.облило clf.из clf.канализации грязь туалет <dact> для халат муж и зафиксировать пока приносить чистый poss 3ps одежда3
скоро быть праздник	скоро будет праздник	скоро будет праздник
пока спасатель ехать мальчик сидеть рядом и следить	пока спасать еда мальчик рядом следить	пока спасать clf clf.человек clf.прийти 3ps мальчик рядом следить н-о жалость
весь целый весь пока	все прощаться	воздушный.поцелуй аплодисменты
усердный	усердно.трудиться	усердно.трудиться
открываться дверь	дверь открытый	открывать.дверь
он мочь бить себя по грудь или по стол пытаться показывать что он плохо и нужный помощь	3ps бить 1ps себя 1ps лицо милый себя clf clf.человек	получаться 3ps clf clf.хлопать clf.по clf.грудь clf clf.хлопать clf.по clf.стол тоже показывать все 3ps помогать 1ps тоже плохой
представлять что инициативный группа хотеть разрабатывать проект который помогать избавляться от этот проблема и не давать она развиваться	ладно группа гап делать indx проект проблема2 убирать живот развитие нет	ладно группа гап делать indx проект проблема2 убирать живот развитие нет проблема убирать
жертва это когда вс что ты делать ты делать в ущерб себя	жертва это когда2 2ps делать отдавать.себя себе думать нет	<dact> называть <dact> что делать 1ps делать отдавать.себя себе думать нет
медвежонок плыть на льдина	медведь маленький3 clf clf.круглый clf.предмет clf	медведь маленький3 clf clf.круглый clf.предмет clf.плыть clf clf.толстый clf.лед <dact> clf clf.запрыгнуть clf clf.на clf.четырех clf.лапах плыть
я этот никто не учить	1ps никто 1ps 3ps учить2 1ps	1ps научить 1ps никто
например дма она заставлять она делать самый тяжелый работая	пример <dact> 3ps заставлять 1ps тяжелый труд	например дом самый сложный тяжелый труд clf clf.сесть clf.на clf.шею
на улица быть тепло и мальчик хотеть пойти гулять однако начинаться дождь	улица теплый и мальчик желание терпеть гулять желание	indx смотреть улица теплота мальчик желание выходить гулять начать дождь
смотреть на вы	смотреть 2ps	смотреть 2ps
что там	что indx	что indx
он облизываться	вкус облизывать	вкус облизывать
идентичность я глухой и ты глухой	следующий2 1ps яг 1ps одинаковый 2ps глухой кровь2 2ps глухой	следующий2 яг 1ps одинаковый 2ps 1ps глухой кровь2 2ps глухой 1ps одинаковый 2ps
если весь быть копить не нужно откладывать на всякий случай	копить все есть копить не.нужно все есть это запас вклад	копить 1ps копить не.нужно все есть это запас вклад
сура в адаптис плохой перевод в субтитр такой замечание	<dact> субтитры перевод плохой замечание2	<dact> <dact> плохой субтитры перевод плохой замечание2
у я нет сила	1ps сила дефицит	1ps сила дефицит
этот верхний пункт сокращать но затратный ресурс быть всегда	это clf clf.деньги clf.уменьшаться <nums> расходы clf clf.	это clf clf.деньги clf.уменьшаться <nums> расходы <dact> всегда постоянный тратить pl
здесь жить дружно поколение старший бабушка и дедушка средний мама и папа и младший ребенок катя и антон	indx дружба жить вместе <nums> поколение старший бабушка2 дедушка второй	indx дружба жить вместе <nums> поколение старший бабушка2 дедушка второй мама папа третий младший дети <dact> <dact>
я должный завершать еще пара важный дело пока	1ps обязанность завершать еще <nums> важный дело прощаться	1ps должен конец <nums> важный дело пока
понятно	понятый	понятый
сегодня мы продолжать разбирать программа slim	сегодня2 продолжать <nums> исследовать <nums> д <dact>	сегодня2 продолжать <nums> исследовать <nums> д <dact>
но сначала давать разбираться как усваиваться пища	н-о первый давать 1ps рассказывать 2ps что еда что такой	н-о исследовать <dact> 1ps еда воспринимать <dact>
рассказывать еще	рассказыватьеще	жестовый язык кто еще был рассказывать
терять	потерять2	потерять2
он приносить одеяло из дом и накрывать собака обращаться к взрослый за помощь	одеяло дом clf clf.взять одеяло clf.принести одеяло	одеяло дом clf clf.взять clf.принести одеяло обращаться взрослый помогать 3ps 3ps
даже мэр город приезжать чтобы успокаивать мальчик	и даже город приходитьpl 3ps успокаивать мальчик	и даже <dact> город поехать гость 3ps 3ps успокоить 3ps 3ps pl
например компьютер ноутбук проектор стул стол и всякий вещь	пример компьютер проектор стул стол всякий вещь	пример компьютер ноутбук проектор мелочь стул pl стол был
здравствовать	здравствуйте	здравствуйте
сейчас я объяснять как и что	1ps сегодня2 рассказывать 2ps что <dact> это	1ps сегодня2 1ps рассказывать 2ps что <dact> это
она просыпаться и она быть очень тесно	проснуться тесный тесный	проснуться и тесный был нормальный тесный
идти дождь и мы решать оставаться дом и посмотреть фильм	идет дождь и решать оставаться дом смотреть фильм	дождь 1ps думать решать оставаться дом и смотреть2 фильм2
весь что она удаваться находить это работа дворник в соседний двор но больший она и не нужно быть главное что хватать платить за квартира а на ехать она надо быть совсем немного потому что она почти ничто не есть и похудеть до неузнаваемость	все что мочь успех работать дворник сосед indx территория н-о	и все что мочь2 успех только2 работать дворник сосед indx территория н-о дворник достаточно квартира платить есть деньги еда должен нет много <dact> чуть-чуть еда нет ничего2 худеть видеть лицо узнать нет
кто она резать	кто резать	3ps кто 3ps разрезать 1ps
что вообще представлять себя этот организация и зачем она нужный	как организация для что	это организация здесь для что
видимо становиться больше сажать культура и из-за большой количество урожай он становиться собираться поздно	больше clf clf.сажать clf.в clf.землю урожай собира	больше clf clf.сажать clf.в clf.землю урожай собирать2 выше начинать позже собирать2
в это место очень много турист благодаря то что здесь много исторический здание	indx толпа турист благодаря indx множественный indx исторический здание	это место много 3ps приезжать путешествие <dact> почему это место2 много исторический clf музей разный
семья это много домашний работа	семья это много домашний работа	семья это много дом работать
но я никогда не встречать	1ps встречаться никогда	1ps встречаться никогда
потому что нет общение нет любовь и понимание и он быть просто как собачка это очень страшно а у тот трое быть семья любовь общение и вот это реально до мурашки	общение ноль2 любовь ноль2 игнорировать2 игнорировать	общение ноль2 любовь ноль2 обнимать ноль2 игнорировать2 одинаковый собака2 clf clf.собака clf.прислушивается папа иса indx боль 3ps pl общение это 3ps pl 3ps pl спасибо общение делить думать сохранение понимать спасибо папа папа 3ps clf clf.мурашки clf.по clf.коже
в ноябрь будет год как я официально работать переводчик	ноябрь официальный 1ps работать2 переводчик уже <nums> год	ноябрь официальный 1ps работать2 переводчик уже <nums> год
я ждать твой звонок но ты я не позвонить	1ps ждать2 poss 2ps звонить.по.телефону 1ps 2ps тоже 2ps	1ps ждать2 когда2 3ps звонить.по.телефону 1ps 2ps тоже 3ps звонить.по.телефону 1ps нет2
рядом с печень желчный пузырь который удерживать желчь до необходимый момент	печень рядом <dact> <dact> clf clf.желчный clf.пузырь	печень рядом <dact> <dact> clf clf.желчный clf.пузырь indx <dact> действие оставить нужно clf clf.желчь clf.убрать
лев лишь рассмеяться	смеяться3 лев смеяться3	смеяться3 лев смеяться смеяться3
интересно	интересный	интересный
я быстро получать обещать жилье но это быть маленький комнатка в коммуналка где сосед ввергать в шок при первый же встреча	1ps быстрый получать дом это был маленький3 комната соседpl все су	1ps быстрый получать дом это был маленький3 комната сосед pl квартира сосед pl все сумасшедший3 1ps взглянуть
осаня начинаться в конец октябрь в ноябрь или декабрь	всегда осень2 начинать октябрь последний3 ноябрь декабрь всегда	всегда осень2 начинать октябрь последний3 ноябрь декабрь всегда изменить.направление
интересно так	интересный	интересный так
второй вариант частично да частично нет	второй половина да половина <dact> слабый	второй половина да половина <dact> слабый
ничто из еда нет	еда ничего3 нет2	еда indx pl ноль
я любить голубой цвет а мой сестра ненавидеть он	1ps любить голубой цвет голубой poss 1ps сестра ненавидеть2	poss 1ps любить голубой цвет голубой poss 1ps сестра ненавидеть2
переводчик слушать речь и переводить на жестовый язык	переводчик слушать 3ps речь2 3ps рассказывать.на.ржя рассказывать	переводчик слушать 3ps речь 1ps 2ps 1ps рассказывать.на.ржя рассказывать переводить рассказывать переводить
если бы у мы в школа россия знать что глухой ребенок из семья глухой свободно говорить на жестовый язык и он учить бы переход с жестовый язык на русский то в школа бы привыкать обучать на жестовый и у ребенок быть бы грамотный русский язык	если б-ы poss 1ps россия площадь б-ы школа 3ps знать ребен	что если б-ы poss 1ps россия площадь б-ы школа вокруг знать ребенок глухой семья глухой говорить на жестовом языке <dact> переезд школа б-ы привычка обучать2 жестовый язык поменять грамотность poss 3ps русский язык
веселый	веселый	веселый
первый вариант принимать такой как быть	первый вывод indx есть	первый принимать такой2 как есть
а если с реб нком в семья общаться при помощь устный речь а жестовый язык считать ненужный это не совсем CODA	а если есть кто дети2 мама семья глухой родиться дети	а если есть кто дети2 мама семья глухой ребёнок дети2 родиться слышащий говорить2 жестовый.язык не.нужно говорить2 беседовать poss 1ps кода indx нет indx
этот чувство доброта и любовь появляться в человек сам по себя	этот чувство доброта и любовь появляться человекpl собственный	чувство добрый любовь появляться человек автоматический согласие
когда я забеременеть то так же работать до последний а потом еще и на дом брать подработка	когда2 1ps беременность беременность 1ps работать до <nums> приближаться дом получатьpl	когда2 1ps беременность 1ps работать до <dact> приближаться плюс дом получать pl работать
как становиться эмоциональный энергичный воодушевлять свой жизнь	как стоять эмоция энергия воодушевление свой жизнь как	как стоять эмоция энергия воодушевление свой жизнь как
год он лечиться и выздоравливать	<nums> год2 3ps заболеть выздороветь	год <nums> лечение заболеть здоровый
ты знать кто я	2ps знать кто 1ps	2ps знать кто 1ps
также природа выделять жир роль запасной энергоноситель т е поступать жир пойти на образование энергия но только в случай крайний энергодефицит	успех и плюс природа <dact> это 3ps отправлять 1ps н-а основ	успех и плюс природа 3ps давать 1ps электричество <dact> <dact> indx 3ps отправлять 1ps н-а основывать электричество только2 если 1ps электричество недоставать
заболевать	заболеть	заболеть
дедушка помогать антон они вместе записывать весь история семья	дедушка помогать 3ps если вместе записывать все история семья	дедушка 1ps помогать 3ps <dact> вместе писать записать все история семья
на это мероприятие приглашаться весь дама и королева который хотеть повеселиться и отдыхать вместе со я принц это королевство сын король и наследник престол	это мероприятие праздник приглашать все девочка кто мечтать желание веселиться	это мероприятие праздник приглашать все девочка кто мечтать желание веселиться отдых 1ps вместе 3ps 1ps принц руководить это территория сын король наследство дать 1ps престол
дотащить он мешок в лес и раздавать подарок весь животное они очень обрадоваться	контактировать2 лес и подарокpl очень большой да	clf clf.принести indx лес и подарок pl каждый животное2 подарок все возбуждение
на концерт	зал	зал
он лежать мертвый в высокий трава и в сердце у он быть острый шип	о-н смерть трава2 трава2 clf clf.в clf 	о-н смерть трава clf clf.птица clf.упала clf.в clf.траву сердце птица2 indx был острый шип
женщина любить носить шуба они тоже защищать от ветер	женщинаpl любить носить шуба2 тоже включать ветер защита	женщина pl любить носить шуба2 тоже включать ветер защита
снег растаивать потому что выглядывать солнце	снег таять почему солнце	снег таять почему солнце
этот конкурс следующий конкурс увидеть принимать участие	это соревнование следующий соревнование заметить3 это 2ps принимать участие	indx соревнование следующий соревнование заметить3 это 2ps стараться принимать участие
если вы решать участвовать в конкурс быть бы хорошо если бы у вы уже быть готовый проект потому что так легко будет о н м рассказывать доказывать он нужность	если вы 2ps будет участвовать 2ps уже готовый проект легко2 будет	что любой соревнование принимающий участие желание б-ы проект все готовый легкий принимающий участие проект есть легкий принимающий участие 1ps рассказывать 2ps доказывать легкий
этот организация только для слышать ребенок CODA	это организация только <dact> дети2 слышащий кода	indx это организация только <dact> дети2 слышащий кода
но помнить что масло бывать опасный	н-о помнить что если масло бывает это опасный	н-о помнить что если масло бывает это опасный
грубый	грубый	грубый
раз ты просить я подождать	2ps просить 1ps ждать	2ps просить 1ps ждать
наш сми за вс в то число и за размещение публикация хотеть получать деньги	у 1ps pl желание деньги разный деньги нужда публиковать новости так	у 1ps pl <dact> желание деньги нужда публиковать новости так ведомый деньги
самостоятельно выбирать ответ пожалуйста	сам2 нажать отвечать пожалуйста	сам2 нажать отвечать пожалуйста
благодаря сплоченность весь команда они выигрывать	благодаря все команда 3ps pl найти	спасибо команда дружба 3ps pl найти
и слышать и глухой приходить и организовывать свой группа	слышащий толпа приходитьpl свой группа	приходить pl слышащий толпа группа pl свой группа глухой
опытный	опытный	опытный
вс весь пока	все прощаться	все пока
ждать ваш звонок	ждать2 poss 2ps pl звонить.по.видеосвязи	ждать2 ваш звонить.по.видеосвязи
крепкий	крепкий	твердый
например здесь в россия мы открывать свой организация код но мы выбирать русскоязычный название слышать ребенок в семья глухой	пример 1ps здесь россия 1ps создавать2 кода а факт2 poss 1ps росси	пример 1ps здесь россия 1ps создавать2 кода а факт2 clf clf.появиться называть <dact> poss 3ps россия 1ps называть слышащий слышать дети2 семья глухой
