Russian	Predicted	Truth
пока спасатель ехать мальчик сидеть рядом и следить	пока спасать был мальчик рядом следить clf clf.человек clf.ид	пока спасать clf clf.человек clf.прийти 3ps мальчик рядом следить н-о жалость
весь целый весь пока	все хорошо прощаться	воздушный.поцелуй аплодисменты
усердный	усердно.трудиться	усердно.трудиться
открываться дверь	дверь открытый	открывать.дверь
он мочь бить себя по грудь или по стол пытаться показывать что он плохо и нужный помощь	о-н мочь бить себя clf clf.человек clf.	получаться 3ps clf clf.хлопать clf.по clf.грудь clf clf.хлопать clf.по clf.стол тоже показывать все 3ps помогать 1ps тоже плохой
представлять что инициативный группа хотеть разрабатывать проект который помогать избавляться от этот проблема и не давать она развиваться	ладно группа гап делать это проблема2 убирать живот развитие нет проблема	ладно группа гап делать indx проект проблема2 убирать живот развитие нет проблема убирать
жертва это когда вс что ты делать ты делать в ущерб себя	жертва это когда2 делать отдавать.себя себе делать	<dact> называть <dact> что делать 1ps делать отдавать.себя себе думать нет
медвежонок плыть на льдина	медведь маленький3 clf clf.четырех clf.идти clf	медведь маленький3 clf clf.круглый clf.предмет clf.плыть clf clf.толстый clf.лед <dact> clf clf.запрыгнуть clf clf.на clf.четырех clf.лапах плыть
я этот никто не учить	1ps никто преподавание не учить	1ps научить 1ps никто
например дма она заставлять она делать самый тяжелый работая	пример дом самый сложный тяжелый труд clf clf.сесть clf.	например дом самый сложный тяжелый труд clf clf.сесть clf.на clf.шею
на улица быть тепло и мальчик хотеть пойти гулять однако начинаться дождь	территория улица есть теплота мальчикpl желание о-н гулять	indx смотреть улица теплота мальчик желание выходить гулять начать дождь
смотреть на вы	смотреть 2ps	смотреть 2ps
что там	что indx	что indx
он облизываться	вкус облизывать	вкус облизывать
идентичность я глухой и ты глухой	следующий2 1ps одинаковый 2ps крепкий кровь2 2ps глухой кровь2	следующий2 яг 1ps одинаковый 2ps 1ps глухой кровь2 2ps глухой 1ps одинаковый 2ps
если весь быть копить не нужно откладывать на всякий случай	копить н-е недоставать нужно случайpl	копить 1ps копить не.нужно все есть это запас вклад
сура в адаптис плохой перевод в субтитр такой замечание	<dact> <dact> плохой субтитры перевод плохой замечание2	<dact> <dact> плохой субтитры перевод плохой замечание2
у я нет сила	1ps сила дефицит	1ps сила дефицит
этот верхний пункт сокращать но затратный ресурс быть всегда	это clf clf.деньги clf.уменьшаться <nums> расходы <nums> всегда	это clf clf.деньги clf.уменьшаться <nums> расходы <dact> всегда постоянный тратить pl
здесь жить дружно поколение старший бабушка и дедушка средний мама и папа и младший ребенок катя и антон	indx дружба жить вместе <nums> поколение старший бабушка2 дедушка второй	indx дружба жить вместе <nums> поколение старший бабушка2 дедушка второй мама папа третий младший дети <dact> <dact>
я должный завершать еще пара важный дело пока	1ps должен завершать еще <nums> важный дело	1ps должен конец <nums> важный дело пока
понятно	понятый	понятый
сегодня мы продолжать разбирать программа slim	сегодня2 продолжать <nums> д <dact>	сегодня2 продолжать <nums> исследовать <nums> д <dact>
но сначала давать разбираться как усваиваться пища	н-о начинать еда <dact> еда съесть	н-о исследовать <dact> 1ps еда воспринимать <dact>
рассказывать еще	рассказывать	жестовый язык кто еще был рассказывать
терять	потерять	потерять2
он приносить одеяло из дом и накрывать собака обращаться к взрослый за помощь	одеяло дом clf clf.взять clf.принести одеяло обращаться	одеяло дом clf clf.взять clf.принести одеяло обращаться взрослый помогать 3ps 3ps
даже мэр город приезжать чтобы успокаивать мальчик	и даже <dact> город приходить 3ps 3ps успокоить 3ps 3ps pl	и даже <dact> город поехать гость 3ps 3ps успокоить 3ps 3ps pl
например компьютер ноутбук проектор стул стол и всякий вещь	пример компьютер проектор стул clf.человек clf.идет тоже	пример компьютер ноутбук проектор мелочь стул pl стол был
здравствовать	здравствуйте	здравствуйте
сейчас я объяснять как и что	1ps сегодня2 рассказывать 2ps что <dact> это	1ps сегодня2 1ps рассказывать 2ps что <dact> это
она просыпаться и она быть очень тесно	проснуться и тесный был тесный	проснуться и тесный был нормальный тесный
идти дождь и мы решать оставаться дом и посмотреть фильм	дождь и 1ps думать оставаться дом и картина	дождь 1ps думать решать оставаться дом и смотреть2 фильм2
весь что она удаваться находить это работа дворник в соседний двор но больший она и не нужно быть главное что хватать платить за квартира а на ехать она надо быть совсем немного потому что она почти ничто не есть и похудеть до неузнаваемость	все и что мочь успех работать дворник сосед indx территория н	и все что мочь2 успех только2 работать дворник сосед indx территория н-о дворник достаточно квартира платить есть деньги еда должен нет много <dact> чуть-чуть еда нет ничего2 худеть видеть лицо узнать нет
кто она резать	кто резать	3ps кто 3ps разрезать 1ps
что вообще представлять себя этот организация и зачем она нужный	как организация думать почему	это организация здесь для что
видимо становиться больше сажать культура и из-за большой количество урожай он становиться собираться поздно	больше clf clf.сажать clf.в clf.землю урожай собира	больше clf clf.сажать clf.в clf.землю урожай собирать2 выше начинать позже собирать2
в это место очень много турист благодаря то что здесь много исторический здание	это место indx толпа турист множественный indx поэтому indx множественный indx исторически	это место много 3ps приезжать путешествие <dact> почему это место2 много исторический clf музей разный
семья это много домашний работа	семья это много домашний работа	семья это много дом работать
но я никогда не встречать	1ps встречаться никогда	1ps встречаться никогда
потому что нет общение нет любовь и понимание и он быть просто как собачка это очень страшно а у тот трое быть семья любовь общение и вот это реально до мурашки	общение ноль2 любовь ноль2 игнорировать2 игнорировать	общение ноль2 любовь ноль2 обнимать ноль2 игнорировать2 одинаковый собака2 clf clf.собака clf.прислушивается папа иса indx боль 3ps pl общение это 3ps pl 3ps pl спасибо общение делить думать сохранение понимать спасибо папа папа 3ps clf clf.мурашки clf.по clf.коже
в ноябрь будет год как я официально работать переводчик	ноябрь официальный 1ps работать2 переводчик уже <nums> год	ноябрь официальный 1ps работать2 переводчик уже <nums> год
я ждать твой звонок но ты я не позвонить	1ps ждать2 poss 2ps звонить.по.телефону 1ps 2ps тоже 3ps	1ps ждать2 когда2 3ps звонить.по.телефону 1ps 2ps тоже 3ps звонить.по.телефону 1ps нет2
рядом с печень желчный пузырь который удерживать желчь до необходимый момент	печень рядом <dact> еда это indx действие оставить нужно clf clf 	печень рядом <dact> <dact> clf clf.желчный clf.пузырь indx <dact> действие оставить нужно clf clf.желчь clf.убрать
лев лишь рассмеяться	смеяться3 лев смеяться3	смеяться3 лев смеяться смеяться3
интересно	интересный	интересный
я быстро получать обещать жилье но это быть маленький комнатка в коммуналка где сосед ввергать в шок при первый же встреча	1ps быстрый получать дом это был маленький3 комната соседpl квартира	1ps быстрый получать дом это был маленький3 комната сосед pl квартира сосед pl все сумасшедший3 1ps взглянуть
осаня начинаться в конец октябрь в ноябрь или декабрь	всегда осень2 начинать последний3 ноябрь декабрь примерно изменить.	всегда осень2 начинать октябрь последний3 ноябрь декабрь всегда изменить.направление
интересно так	интересный	интересный так
второй вариант частично да частично нет	второй половина да половина <dact> слабый	второй половина да половина <dact> слабый
ничто из еда нет	еда ничего3 еда не иметь	еда indx pl ноль
я любить голубой цвет а мой сестра ненавидеть он	1ps любить голубой цвет голубой poss 1ps сестра ненавидеть2	poss 1ps любить голубой цвет голубой poss 1ps сестра ненавидеть2
переводчик слушать речь и переводить на жестовый язык	переводчик слушать речь и 1ps рассказывать.на.ржя рассказывать	переводчик слушать 3ps речь 1ps 2ps 1ps рассказывать.на.ржя рассказывать переводить рассказывать переводить
если бы у мы в школа россия знать что глухой ребенок из семья глухой свободно говорить на жестовый язык и он учить бы переход с жестовый язык на русский то в школа бы привыкать обучать на жестовый и у ребенок быть бы грамотный русский язык	если б-ы poss 1ps россия площадь б-ы школа площадь знать	что если б-ы poss 1ps россия площадь б-ы школа вокруг знать ребенок глухой семья глухой говорить на жестовом языке <dact> переезд школа б-ы привычка обучать2 жестовый язык поменять грамотность poss 3ps русский язык
веселый	веселый	веселый
первый вариант принимать такой как быть	первый принимать такой3 как есть	первый принимать такой2 как есть
а если с реб нком в семья общаться при помощь устный речь а жестовый язык считать ненужный это не совсем CODA	а если есть кто дети2 мама родиться слышащий говорить	а если есть кто дети2 мама семья глухой ребёнок дети2 родиться слышащий говорить2 жестовый.язык не.нужно говорить2 беседовать poss 1ps кода indx нет indx
этот чувство доброта и любовь появляться в человек сам по себя	этот чувство доброта и любовь2 появляться человекpl собственный	чувство добрый любовь появляться человек автоматический согласие
когда я забеременеть то так же работать до последний а потом еще и на дом брать подработка	когда2 1ps беременность 1ps работать до <dact> приближаться плюс дом получатьpl	когда2 1ps беременность 1ps работать до <dact> приближаться плюс дом получать pl работать
как становиться эмоциональный энергичный воодушевлять свой жизнь	как стоять эмоция энергия воодушевление свой жизнь как	как стоять эмоция энергия воодушевление свой жизнь как
год он лечиться и выздоравливать	о-н 3ps лечение выздоровый	год <nums> лечение заболеть здоровый
ты знать кто я	2ps знать кто 1ps	2ps знать кто 1ps
также природа выделять жир роль запасной энергоноситель т е поступать жир пойти на образование энергия но только в случай крайний энергодефицит	успех и плюс природа 3ps давать 1ps электричество <dact> <dact> indx вина	успех и плюс природа 3ps давать 1ps электричество <dact> <dact> indx 3ps отправлять 1ps н-а основывать электричество только2 если 1ps электричество недоставать
заболевать	заболеть	заболеть
дедушка помогать антон они вместе записывать весь история семья	дедушка помогать <dact> делать вместе записывать все история семья	дедушка 1ps помогать 3ps <dact> вместе писать записать все история семья
на это мероприятие приглашаться весь дама и королева который хотеть повеселиться и отдыхать вместе со я принц это королевство сын король и наследник престол	это мероприятие праздник приглашать все девочка кто мечтать желание веселиться	это мероприятие праздник приглашать все девочка кто мечтать желание веселиться отдых 1ps вместе 3ps 1ps принц руководить это территория сын король наследство дать 1ps престол
дотащить он мешок в лес и раздавать подарок весь животное они очень обрадоваться	clf clf.принести indx лес и подарокpl каждый животное2 подар	clf clf.принести indx лес и подарок pl каждый животное2 подарок все возбуждение
на концерт	зал	зал
он лежать мертвый в высокий трава и в сердце у он быть острый шип	трава2 трава2 трава2 clf clf.птица clf.у	о-н смерть трава clf clf.птица clf.упала clf.в clf.траву сердце птица2 indx был острый шип
женщина любить носить шуба они тоже защищать от ветер	женщина любить носить шуба2 тоже включать ветер защита	женщина pl любить носить шуба2 тоже включать ветер защита
снег растаивать потому что выглядывать солнце	снег таять почему солнце	снег таять почему солнце
этот конкурс следующий конкурс увидеть принимать участие	соревнование следующий соревнование заметить3 это соревнование заметить3 это	indx соревнование следующий соревнование заметить3 это 2ps стараться принимать участие
если вы решать участвовать в конкурс быть бы хорошо если бы у вы уже быть готовый проект потому что так легко будет о н м рассказывать доказывать он нужность	соревнование принимающий участие будет готовый это 3ps давать 1ps если	что любой соревнование принимающий участие желание б-ы проект все готовый легкий принимающий участие проект есть легкий принимающий участие 1ps рассказывать 2ps доказывать легкий
этот организация только для слышать ребенок CODA	это организация только дети2 слышащий кода	indx это организация только <dact> дети2 слышащий кода
но помнить что масло бывать опасный	н-о помнить что если масло бывает это опасный	н-о помнить что если масло бывает это опасный
грубый	грубый	грубый
раз ты просить я подождать	2ps просить 1ps ждать	2ps просить 1ps ждать
наш сми за вс в то число и за размещение публикация хотеть получать деньги	у 1ps pl <dact> желание деньги нужда публиковать новости так ведомый	у 1ps pl <dact> желание деньги нужда публиковать новости так ведомый деньги
самостоятельно выбирать ответ пожалуйста	сам2 нажать отвечать пожалуйста	сам2 нажать отвечать пожалуйста
благодаря сплоченность весь команда они выигрывать	спасибо команда дружба 3ps pl выиграть	спасибо команда дружба 3ps pl найти
и слышать и глухой приходить и организовывать свой группа	слышащий толпа группаpl свой группа глухой	приходить pl слышащий толпа группа pl свой группа глухой
опытный	опытный	опытный
вс весь пока	все пока	все пока
ждать ваш звонок	ждать2 poss 2ps pl звонить.по.видеосвязи	ждать2 ваш звонить.по.видеосвязи
крепкий	крепкий	твердый
например здесь в россия мы открывать свой организация код но мы выбирать русскоязычный название слышать ребенок в семья глухой	пример 1ps здесь россия 1ps создавать2 кода а факт2 poss 1ps росси	пример 1ps здесь россия 1ps создавать2 кода а факт2 clf clf.появиться называть <dact> poss 3ps россия 1ps называть слышащий слышать дети2 семья глухой
