Russian	Predicted	Truth
а этот мужчина быть сантехник который чинить прорыв канализация и который обливать дерьмо тома давать он халат муж и разрешать подождать пока он привозить чистый вещь	indx так оставить прорывчик испытывать прорывчик или нет общий пут	а мужчина2 это кто сантехник <dact> сантехник 1ps исправлять 3ps туалет канализация clf clf.облило clf.из clf.канализации грязь туалет <dact> для халат муж и зафиксировать пока приносить чистый poss 3ps одежда3
скоро быть праздник	скоро пример заводить праздник	скоро будет праздник
пока спасатель ехать мальчик сидеть рядом и следить	пока спасатель ехать кругом ищет знакомить ось ищет знаком	пока спасать clf clf.человек clf.прийти 3ps мальчик рядом следить н-о жалость
весь целый весь пока	результатый целый весь целый весь целый весь целый весь цел	воздушный.поцелуй аплодисменты
усердный	усердный усердный усердный усердный усердный усердный у	усердно.трудиться
открываться дверь	царь открытивать дверь	открывать.дверь
он мочь бить себя по грудь или по стол пытаться показывать что он плохо и нужный помощь	indx мочь бить себя по грудь или мочь нормально главный путь	получаться 3ps clf clf.хлопать clf.по clf.грудь clf clf.хлопать clf.по clf.стол тоже показывать все 3ps помогать 1ps тоже плохой
представлять что инициативный группа хотеть разрабатывать проект который помогать избавляться от этот проблема и не давать она развиваться	что инициативный группа трудно делать избавлять2 инициативный инициативный	ладно группа гап делать indx проект проблема2 убирать живот развитие нет проблема убирать
жертва это когда вс что ты делать ты делать в ущерб себя	ты делать это ущерб себя в ущерб себя в ущерб	<dact> называть <dact> что делать 1ps делать отдавать.себя себе думать нет
медвежонок плыть на льдина	освежитель трясти на льдина трясти на льдина трясти	медведь маленький3 clf clf.круглый clf.предмет clf.плыть clf clf.толстый clf.лед <dact> clf clf.запрыгнуть clf clf.на clf.четырех clf.лапах плыть
я этот никто не учить	я этот никто не учить никто никто не учить	1ps научить 1ps никто
например дма она заставлять она делать самый тяжелый работая	если дма заставлять самый тяжелый работа	например дом самый сложный тяжелый труд clf clf.сесть clf.на clf.шею
на улица быть тепло и мальчик хотеть пойти гулять однако начинаться дождь	результать покидать тепло испытывать дождь олегчать олег	indx смотреть улица теплота мальчик желание выходить гулять начать дождь
смотреть на вы	вы смотреть на вы	смотреть 2ps
что там	что есть что таможня что есть что таможня	что indx
он облизываться	мы обрезать огонь	вкус облизывать
идентичность я глухой и ты глухой	ты глубоко мир глубоко мир глубоко мир глубоко мир глубоко мир глубоко мир	следующий2 яг 1ps одинаковый 2ps 1ps глухой кровь2 2ps глухой 1ps одинаковый 2ps
если весь быть копить не нужно откладывать на всякий случай	если если если если если если если если если	копить 1ps копить не.нужно все есть это запас вклад
сура в адаптис плохой перевод в субтитр такой замечание	суат в адаптированный переводчик плохой переводить субтитры так оставить порт	<dact> <dact> плохой субтитры перевод плохой замечание2
у я нет сила	я нет сила	1ps сила дефицит
этот верхний пункт сокращать но затратный ресурс быть всегда	indx плюс верхний центр сокращать нодорогать но нормальноченный путь все	это clf clf.деньги clf.уменьшаться <nums> расходы <dact> всегда постоянный тратить pl
здесь жить дружно поколение старший бабушка и дедушка средний мама и папа и младший ребенок катя и антон	где жить родной дом семья испытывать родной дом семья	indx дружба жить вместе <nums> поколение старший бабушка2 дедушка второй мама папа третий младший дети <dact> <dact>
я должный завершать еще пара важный дело пока	я должный завершать еще пара важный дело пока	1ps должен конец <nums> важный дело пока
понятно	понятно понятно  понятно	понятый
сегодня мы продолжать разбирать программа slim	результат indx продолжать понятия slim	сегодня2 продолжать <nums> исследовать <nums> д <dact>
но сначала давать разбираться как усваиваться пища	но инача давать пища	н-о исследовать <dact> 1ps еда воспринимать <dact>
рассказывать еще	еще рассказывать еще еще еще еще еще еще еще	жестовый язык кто еще был рассказывать
терять	ранеять терять терять  терять  терять  терять	потерять2
он приносить одеяло из дом и накрывать собака обращаться к взрослый за помощь	есть собака приносить одеяние из дом и называть одеяние indx обращать	одеяло дом clf clf.взять clf.принести одеяло обращаться взрослый помогать 3ps 3ps
даже мэр город приезжать чтобы успокаивать мальчик	есть город приезжать чтобы насеком мы приезжать чтобы приезжать что	и даже <dact> город поехать гость 3ps 3ps успокоить 3ps 3ps pl
например компьютер ноутбук проектор стул стол и всякий вещь	если компьютер шить шить плюс шить ноутбук и сякий вещь	пример компьютер ноутбук проектор мелочь стул pl стол был
здравствовать	здравствовать здравствовать	здравствуйте
сейчас я объяснять как и что	indx объяснять главный и что я объяснять главный и что я	1ps сегодня2 1ps рассказывать 2ps что <dact> это
она просыпаться и она быть очень тесно	indx просыпчать испытывать нормально главный нормально главный нормально глав	проснуться и тесный был нормальный тесный
идти дождь и мы решать оставаться дом и посмотреть фильм	мы решать оставить дом и посмотреть фильм и посмотреть фильм и по	дождь 1ps думать решать оставаться дом и смотреть2 фильм2
весь что она удаваться находить это работа дворник в соседний двор но больший она и не нужно быть главное что хватать платить за квартира а на ехать она надо быть совсем немного потому что она почти ничто не есть и похудеть до неузнаваемость	есть тоже люди кто должен получать2 сосед indx плюс сосед	и все что мочь2 успех только2 работать дворник сосед indx территория н-о дворник достаточно квартира платить есть деньги еда должен нет много <dact> чуть-чуть еда нет ничего2 худеть видеть лицо узнать нет
кто она резать	кто резать кого кто резать	3ps кто 3ps разрезать 1ps
что вообще представлять себя этот организация и зачем она нужный	результат indx организация представлять себя этот организация	это организация здесь для что
видимо становиться больше сажать культура и из-за большой количество урожай он становиться собираться поздно	есть мочь мочь мочь мочь мочь мочь мочь мочь мочь	больше clf clf.сажать clf.в clf.землю урожай собирать2 выше начинать позже собирать2
в это место очень много турист благодаря то что здесь много исторический здание	есть тоже мочь тоже мочь тоже мочь тоже мочь тоже	это место много 3ps приезжать путешествие <dact> почему это место2 много исторический clf музей разный
семья это много домашний работа	семья это много домашний работа	семья это много дом работать
но я никогда не встречать	нос ничто ничто не мочь нормально ничто ничто	1ps встречаться никогда
потому что нет общение нет любовь и понимание и он быть просто как собачка это очень страшно а у тот трое быть семья любовь общение и вот это реально до мурашки	потому что нет общение сильно сильно сильно сильно сильно сильно	общение ноль2 любовь ноль2 обнимать ноль2 игнорировать2 одинаковый собака2 clf clf.собака clf.прислушивается папа иса indx боль 3ps pl общение это 3ps pl 3ps pl спасибо общение делить думать сохранение понимать спасибо папа папа 3ps clf clf.мурашки clf.по clf.коже
в ноябрь будет год как я официально работать переводчик	носо русский беспокоящий год действительно русский русский русский русский	ноябрь официальный 1ps работать2 переводчик уже <nums> год
я ждать твой звонок но ты я не позвонить	я жевать ты я не мочь мочь мочь мочь мочь мо	1ps ждать2 когда2 3ps звонить.по.телефону 1ps 2ps тоже 3ps звонить.по.телефону 1ps нет2
рядом с печень желчный пузырь который удерживать желчь до необходимый момент	есть желчь с печень додерживать желчь до необходимость желчь до необходимость	печень рядом <dact> <dact> clf clf.желчный clf.пузырь indx <dact> действие оставить нужно clf clf.желчь clf.убрать
лев лишь рассмеяться	прав лишь лишь расмияться	смеяться3 лев смеяться смеяться3
интересно	интерес интересов	интересный
я быстро получать обещать жилье но это быть маленький комнатка в коммуналка где сосед ввергать в шок при первый же встреча	я скоро примерывать сильно пример заводская сильно главный2 сильно	1ps быстрый получать дом это был маленький3 комната сосед pl квартира сосед pl все сумасшедший3 1ps взглянуть
осаня начинаться в конец октябрь в ноябрь или декабрь	осаня начинать в конец октябрь 2017 конец октябрь 2017 ко	всегда осень2 начинать октябрь последний3 ноябрь декабрь всегда изменить.направление
интересно так	так оставить интерес	интересный так
второй вариант частично да частично нет	вторая вариант частично слабый вариант чистить 2 плюс общий вариант чистить 2	второй половина да половина <dact> слабый
ничто из еда нет	ничто из ничто из испытывать из еда нет ни	еда indx pl ноль
я любить голубой цвет а мой сестра ненавидеть он	я любить голубий цвет а мочь	poss 1ps любить голубой цвет голубой poss 1ps сестра ненавидеть2
переводчик слушать речь и переводить на жестовый язык	переводчик слушать речь и переводить на жестовый язык	переводчик слушать 3ps речь 1ps 2ps 1ps рассказывать.на.ржя рассказывать переводить рассказывать переводить
если бы у мы в школа россия знать что глухой ребенок из семья глухой свободно говорить на жестовый язык и он учить бы переход с жестовый язык на русский то в школа бы привыкать обучать на жестовый и у ребенок быть бы грамотный русский язык	если говорить на жестовый язык действительно русский русский русский русский	что если б-ы poss 1ps россия площадь б-ы школа вокруг знать ребенок глухой семья глухой говорить на жестовом языке <dact> переезд школа б-ы привычка обучать2 жестовый язык поменять грамотность poss 3ps русский язык
веселый	веселый блиный плюс веселый	веселый
первый вариант принимать такой как быть	результатый вариант принимать такой пример indx вариант принимать такой пример indx так	первый принимать такой2 как есть
а если с реб нком в семья общаться при помощь устный речь а жестовый язык считать ненужный это не совсем CODA	если с родной дом семья общать при помощь а плюс семья	а если есть кто дети2 мама семья глухой ребёнок дети2 родиться слышащий говорить2 жестовый.язык не.нужно говорить2 беседовать poss 1ps кода indx нет indx
этот чувство доброта и любовь появляться в человек сам по себя	человек иметь чувство доброта испытывать этот сильнота испыт	чувство добрый любовь появляться человек автоматический согласие
когда я забеременеть то так же работать до последний а потом еще и на дом брать подработка	если я забенять тоже нормально русский плюс нормально нормально	когда2 1ps беременность 1ps работать до <dact> приближаться плюс дом получать pl работать
как становиться эмоциональный энергичный воодушевлять свой жизнь	результат indx воодушевлять мой жизнь	как стоять эмоция энергия воодушевление свой жизнь как
год он лечиться и выздоравливать	год действительно и вызвать и выздоравливать и выздоравливать	год <nums> лечение заболеть здоровый
ты знать кто я	ты знать кто я знать кто знать кого я знать	2ps знать кто 1ps
также природа выделять жир роль запасной энергоноситель т е поступать жир пойти на образование энергия но только в случай крайний энергодефицит	результат indx слабый родной случай :5 :5 :5 :	успех и плюс природа 3ps давать 1ps электричество <dact> <dact> indx 3ps отправлять 1ps н-а основывать электричество только2 если 1ps электричество недоставать
заболевать	заболевание заболевание	заболеть
дедушка помогать антон они вместе записывать весь история семья	дедушка помощывать антон испытывать история семья	дедушка 1ps помогать 3ps <dact> вместе писать записать все история семья
на это мероприятие приглашаться весь дама и королева который хотеть повеселиться и отдыхать вместе со я принц это королевство сын король и наследник престол	что надеяться это испытывать это испытник испытник и	это мероприятие праздник приглашать все девочка кто мечтать желание веселиться отдых 1ps вместе 3ps 1ps принц руководить это территория сын король наследство дать 1ps престол
дотащить он мешок в лес и раздавать подарок весь животное они очень обрадоваться	уже группа доставать подарок вчера уже сильно сильно сильно	clf clf.принести indx лес и подарок pl каждый животное2 подарок все возбуждение
на концерт	на концерт на концерт на концерт на концерт на концерт на концерт на концерт на концерт на концерт на	зал
он лежать мертвый в высокий трава и в сердце у он быть острый шип	есть тело лежать мертвый сильно сильно сильно сильно сильно	о-н смерть трава clf clf.птица clf.упала clf.в clf.траву сердце птица2 indx был острый шип
женщина любить носить шуба они тоже защищать от ветер	indx любить носить шуба и тоже защищать от ветер	женщина pl любить носить шуба2 тоже включать ветер защита
снег растаивать потому что выглядывать солнце	снег выливать потому что выдыхать потому что выращивать солнце выращива	снег таять почему солнце
этот конкурс следующий конкурс увидеть принимать участие	результат indx конкурс наблюдать принимать участие	indx соревнование следующий соревнование заметить3 это 2ps стараться принимать участие
если вы решать участвовать в конкурс быть бы хорошо если бы у вы уже быть готовый проект потому что так легко будет о н м рассказывать доказывать он нужность	если вы решать что indx трудно дети трудно дети трудно дети трудно дети	что любой соревнование принимающий участие желание б-ы проект все готовый легкий принимающий участие проект есть легкий принимающий участие 1ps рассказывать 2ps доказывать легкий
