Russian	Predicted	Truth
много гриб собирать мальчик в лесной часто	собирать много часто лесной мальчик гриб гриб	много гриб собирать2 лес
без видео плохо но ладно я вы рассказывать сам история про англия	сам англия плохо история я плохо рассказывать хорошо видео вы	видео2 indx плохой 1ps 2ps 1ps рассказывать 2ps англия indx <dact>
он замечательно п к печение любой форма например в вид зв здочка лочек	форма любой например вид он печение например замечательно лочка замечательно з	это 3ps идеальный печь печенье <dact> вкус любой это 3ps уметь форма звезда ель разный pl
это глагол прилагательное	прилагательный глагол это	<dact> <dact>
к себя он приглашать я бояться но однажды он напрашиваться ко я на чай и увидеть мой условие жизнь предлагать пожениться и переезжать к он	он бояться он я условие приглашать жизнь он я увидеть сво	1ps себя дом страшный 1ps приглашать 3ps н-о вдруг о-н 3ps обратиться 1ps imp чай пить о-н 3ps видеть 1ps poss 1ps условие2 все жизнь видеть imp жениться и переезд к 3ps
и вы обязательно нужно давать ответ рассказывать	ответ вы нужно давать рассказывать обязательно	2ps pl обязательно нужда ответ pl рассказ pl ответ pl
когда мы отжимать волос вода на они оставаться	оставаться вода мы отжимать волос они	н-о 1ps жать вода clf clf.вода clf.на clf.волосах что необходимость вода оставаться indx есть
хотеть продолжать тема созависимость пренебрежение себя	продолжать хотеть себя зависимость пренебрежение тема продолжать	привет
пищевой волокно связывать большой количество вода в кишечник превращать е в гель который затрудянуть усвоение углевод что сказываться на снижение уровень колебание сахар в кровь	большой е колебание гель превращать волокно большой е	еда волокна успех связь3 только2 больше жидкий вода кишечник успех изменять <dact> и успех <dact> indx конец и успех 3ps давать 1ps уменьшать2 уровень колебание кровь
в строчка выбирать вариант или	выбирать вариант строчка	строчка связать <nums> 2ps выбрать <nums> ответ
когда появляться проблема нужно быстро придумывать как они решать	быстро проблема решать необходимо проблема появляться придумывать они быстро решать	проблема2 появляться быстро решать что придумывать быстро решать
потом я становиться искать какой-нибудь конкурс и наш л один который проводить среди слышать проводиться он два или три день в общий сложность	проводить общий я слышать три какой-нибудь день л два	1ps искать соревнование indx говорить соревнование 1ps все включено это все включено говорить соревнование <nums> день <nums> день <nums> факт2 indx дактилировать
у я быть я крутой у я быть связь	быть крутой связь я я быть я быть я	1ps мочь круто 1ps связь2 есть
я тоже хотеть ходить на бал	хотеть ходить я бал балто	1ps тоже желание посещать pl clf clf.пышная clf.юбка танцевать <dact>
мы знать это животное по мультфильм оно выглядеть так мило что мы и не думать о то что оно опасный а оно опасный	опасный знать оно оно животное опасный выглядеть мы думать оно оно	знать вы животное2 мультфильм2 интересный clf clf.милая clf.пушистая clf.мордочка милый 3ps думать неопасный н-о 3ps опасный есть
наш организация существовать с го год	существовать наш год организация гон	это poss 1ps pl организация существовать уже <nums> год
видеть по-разному	видеть по-разному	видеть разный
второй шаг	второй шаг	второй шаг <dact>
что вообще мочь сделать мы счастливый легко и быстро	быстро быстро счастливый быстро мочь мы быстро сделать вообще мочь	как вообще что влиять на 1ps мочь мы делать счастье очень легко2 быстро2
подруга рассказывать о свой проблема я тоже поделиться свой	рассказывать свой проблема поделиться свой я свой подруга рассказывать	друг 3ps рассказывать 1ps собственность проблема2 3ps рассказывать 1ps 1ps тоже 1ps рассказывать 3ps делить
хорошо	хорошо	хорошо
немного зима посмотреть и лето быть	немного зима посмотреть лето быть	немного зима смотреть2 лето есть
хитрый	глупый	хитрый
номер три это животное который называться древолаз	животное номер животное называться который три это древолаз который	еще есть животное2 назвать <dact>
а человек видеть мир по-разному	мир человек видеть по-разному	а человек pl видеть различный
в год в павловск построить ленинградский восстановительный центр	восстановительный павловск центр построить восстановительный ленинградский центр павловск восстанов	смотреть <nums> год <nums> год павловск <dact> indx стройка clf ленинград восстанавливать центр
мой бабушка не любить гулять ночь	любить гулять ночь мой бабушка	poss 1ps бабушка2 не.любить гулять ночь
нет так нет ну и ладно	плохой я	нет2 так нет2 н-у
такой человек называть элита	элита такой человек называть	новый все человек pl назвать <dact>
сейчас я видеть весь больше и больше небольшой команда который пытаться что-то делать как-то развиваться	развиваться больше видеть больше сейчас больше небольшой пытаться больше делать в	сейчас всё 1ps видеть больше маленький3 команда и-п сам2 достигать так развивать
ребенок весь понимать	весь ребенок понимать	все дети понимать2.наизусть
няня весь собирать и выбрасывать а мальчик давать новый белый с блестящий мех	собирать белый няня мальчик выбрасывать новый весь белый блест	няня2 ладно собирать2 выбросить2 мальчик давать новый белый мех блестящий
для кто-то нужно утяжеление для кто-то чтобы быть разглаживание	быть нужно кто-то утяжеление кто-то кто-то	<dact> кто тяжелый clf clf.волосы clf.тяжелые <dact> кто clf clf.волосы clf.гладкие clf clf.волосы clf.лежат clf clf.волосы что был
начальник говорить мы же готовый он взять у мы быть такой рабочий место но по факт человек с инвалидность никогда не пойд т на это место	начальник взять быть рабочий факт он говорить это место т человек так	начальник говорить мы готовый принять такой место у 1ps есть приглашать но п-о факт2 никогда это место инвалид вступить.не
ты должный позвонить мама а то она будет беспокоиться	она позвонить то беспокоиться должный будет позвонить мама я	2ps должен мама 1ps звонить.по.телефону 3ps 3ps волнение будет
я сидеть в свой комната учиться не пойти но жить на что-то надо быть	жить надо быть пойти я комната свой что-то сидеть у	всегда2 сидеть комната учиться нет нужно деньги жизнь
я обращаться и в другой место например в вога и там я тоже оформлять письмо поддержка такой образ уже они у я быть несколько	обращаться например поддержка я они другой например быть я	другой pl посещаемость надеяться indx и 1ps тоже <dact> 1ps обращаться <dact> тоже indx 3ps поддерживать 1ps печать 1ps повезло clf clf.складывать clf.письма clf.вместе уже
я не нравиться яркий одежда	яркий я нравиться одежда	1ps яркий светлый одежда2 не нравиться
глупый	глупый	дурак
сейчас для наш человек это возможность действительно заниматься любимый дело	наш действительно возможность сейчас это человек заниматься дело любимый	сейчас мы человек pl это возможность действительно работа любить работа
если педагог видеть что он разговаривать хорошо и весь понимать то он без проблема идти в отделение и учиться год	отделение он хорошо понимать разговаривать работать видить идти весь педагог	если смотреть ребенок разговаривать2 хорошо понимать все <nums> подразделение год <nums> учить2 не
потом домой приходить и мама просить еще урок проводить	проводить приходить еще просить домой урок мама	домой мама еще считать3 уроки
например двое мой ребенок говорить на жестовый язык	говорить мой двое ребенок жестовый язык например	дополнение пример poss 1ps дети <nums> глухой не говорить на жестовом языке
почему у мы в россия это не популярный	популярный россия мы это	1ps россия популярный нет2 почему
журналист просто бер т этот новость и публиковать на сайт с красивый картинка	публиковать сайт этот журналист красивый т берить новость картинка	1ps взять публиковать 1ps отправлять 3ps <dact> красивый картина
я жить в краснодарский край	край краснодарский жить я я	1ps жить кавказ место краснодар территория
нужно изучать основа чтобы иметь общий пердставление о они чтобы экскурсовод мочь об этоя рассказывать	они общий пердставление мочь изучать рассказывать основание нужно это	основной2 нужда изучать что общий получать воображение 3ps pl рассказ indx будет экскурсия человек экскурсия человек
я вы совсем не знать но я кажется готовый смотреть в ваш глаз вечность	знать ваш кажется я ваш смотреть я готовый совсем я ваш	дорогой девочка знакомый не 1ps 2ps совсем не знать н-о 1ps казаться 1ps poss 2ps глаз pl готовый зрительный.контакт вечность
а этот мужчина быть сантехник который чинить прорыв канализация и который обливать дерьмо тома давать он халат муж и разрешать подождать пока он привозить чистый вещь	этот он давать жилье который поджигать прорыв давать жилье санитар	а мужчина2 это кто сантехник <dact> сантехник 1ps исправлять 3ps туалет канализация clf clf.облило clf.из clf.канализации грязь туалет <dact> для халат муж и зафиксировать пока приносить чистый poss 3ps одежда3
скоро быть праздник	быть праздник скоро	скоро будет праздник
пока спасатель ехать мальчик сидеть рядом и следить	мальчик рядом следить сидеть спасатель ехать следить	пока спасать clf clf.человек clf.прийти 3ps мальчик рядом следить н-о жалость
весь целый весь пока	целое весь весь весь	воздушный.поцелуй аплодисменты
усердный	усердный	усердно.трудиться
открываться дверь	открываться дверь	открывать.дверь
он мочь бить себя по грудь или по стол пытаться показывать что он плохо и нужный помощь	бить себя он показывать пытаться помощь он нужный плохо стол	получаться 3ps clf clf.хлопать clf.по clf.грудь clf clf.хлопать clf.по clf.стол тоже показывать все 3ps помогать 1ps тоже плохой
представлять что инициативный группа хотеть разрабатывать проект который помогать избавляться от этот проблема и не давать она развиваться	она хотеть избавляться представлять проект инициативный разрабатывать проблема этот да	ладно группа гап делать indx проект проблема2 убирать живот развитие нет проблема убирать
жертва это когда вс что ты делать ты делать в ущерб себя	делать делать весь ущерб себя делать это делать жертва мы	<dact> называть <dact> что делать 1ps делать отдавать.себя себе думать нет
медвежонок плыть на льдина	медвежонок плыть льдина	медведь маленький3 clf clf.круглый clf.предмет clf.плыть clf clf.толстый clf.лед <dact> clf clf.запрыгнуть clf clf.на clf.четырех clf.лапах плыть
я этот никто не учить	этот никто я узнавать	1ps научить 1ps никто
например дма она заставлять она делать самый тяжелый работая	она самый заставлять например работать она делать тяжелый дма например	например дом самый сложный тяжелый труд clf clf.сесть clf.на clf.шею
на улица быть тепло и мальчик хотеть пойти гулять однако начинаться дождь	начинаться гулять дождь улица быть мальчик хотеть тепло пойти	indx смотреть улица теплота мальчик желание выходить гулять начать дождь
смотреть на вы	выглядеть смотреть	смотреть 2ps
что там	зявить	что indx
он облизываться	он облизываться	вкус облизывать
идентичность я глухой и ты глухой	идентичность глухой глухой глухой я глухой ты	следующий2 яг 1ps одинаковый 2ps 1ps глухой кровь2 2ps глухой 1ps одинаковый 2ps
если весь быть копить не нужно откладывать на всякий случай	нужно копить откладывать быть весь случай всякий всякий	копить 1ps копить не.нужно все есть это запас вклад
сура в адаптис плохой перевод в субтитр такой замечание	субтитр такой перевод плохой субтитр сур адаптис замечание	<dact> <dact> плохой субтитры перевод плохой замечание2
у я нет сила	сила я лить	1ps сила дефицит
этот верхний пункт сокращать но затратный ресурс быть всегда	пункт этот верхний сокращать ресурс быть затратный	это clf clf.деньги clf.уменьшаться <nums> расходы <dact> всегда постоянный тратить pl
здесь жить дружно поколение старший бабушка и дедушка средний мама и папа и младший ребенок катя и антон	средний жить антонон катать средний старший мать средний	indx дружба жить вместе <nums> поколение старший бабушка2 дедушка второй мама папа третий младший дети <dact> <dact>
я должный завершать еще пара важный дело пока	должный важный пара еще завершать дело я пока пока	1ps должен конец <nums> важный дело пока
понятно	понятно	понятый
сегодня мы продолжать разбирать программа slim	мы программа продолжать разбирать сегодня	сегодня2 продолжать <nums> исследовать <nums> д <dact>
но сначала давать разбираться как усваиваться пища	разбираться пища сначала усваиваться давать	н-о исследовать <dact> 1ps еда воспринимать <dact>
рассказывать еще	рассказывать еще	жестовый язык кто еще был рассказывать
терять	терять	потерять2
он приносить одеяло из дом и накрывать собака обращаться к взрослый за помощь	обращаться накрывать он взрослый помощь присылать дом собака оде	одеяло дом clf clf.взять clf.принести одеяло обращаться взрослый помогать 3ps 3ps
даже мэр город приезжать чтобы успокаивать мальчик	город приезжать попкаивать мальчик мэр	и даже <dact> город поехать гость 3ps 3ps успокоить 3ps 3ps pl
например компьютер ноутбук проектор стул стол и всякий вещь	например компьютер всякий проектор вещь стол например компьютер кресло	пример компьютер ноутбук проектор мелочь стул pl стол был
здравствовать	здравствовать	здравствуйте
сейчас я объяснять как и что	объяснять сейчас я что сейчас	1ps сегодня2 1ps рассказывать 2ps что <dact> это
она просыпаться и она быть очень тесно	она тесно просыпаться быть очень она	проснуться и тесный был нормальный тесный
идти дождь и мы решать оставаться дом и посмотреть фильм	идти решать оставаться дом мы фильм дождь посмотреть	дождь 1ps думать решать оставаться дом и смотреть2 фильм2
весь что она удаваться находить это работа дворник в соседний двор но больший она и не нужно быть главное что хватать платить за квартира а на ехать она надо быть совсем немного потому что она почти ничто не есть и похудеть до неузнаваемость	она она ехать она хватать она квартира она ничто быть плат	и все что мочь2 успех только2 работать дворник сосед indx территория н-о дворник достаточно квартира платить есть деньги еда должен нет много <dact> чуть-чуть еда нет ничего2 худеть видеть лицо узнать нет
кто она резать	резать кто она	3ps кто 3ps разрезать 1ps
что вообще представлять себя этот организация и зачем она нужный	она представлять нужный себя этот организация вообще	это организация здесь для что
видимо становиться больше сажать культура и из-за большой количество урожай он становиться собираться поздно	культура количество собираться видимо он больше становиться больше становиться урожай поздно са	больше clf clf.сажать clf.в clf.землю урожай собирать2 выше начинать позже собирать2
в это место очень много турист благодаря то что здесь много исторический здание	много то исторический это место много турист здание много очень очень	это место много 3ps приезжать путешествие <dact> почему это место2 много исторический clf музей разный
семья это много домашний работа	это много работа домашний семья	семья это много дом работать
но я никогда не встречать	встречать я я	1ps встречаться никогда
потому что нет общение нет любовь и понимание и он быть просто как собачка это очень страшно а у тот трое быть семья любовь общение и вот это реально до мурашки	общение общение общение общение трое быть общение это он реально соб	общение ноль2 любовь ноль2 обнимать ноль2 игнорировать2 одинаковый собака2 clf clf.собака clf.прислушивается папа иса indx боль 3ps pl общение это 3ps pl 3ps pl спасибо общение делить думать сохранение понимать спасибо папа папа 3ps clf clf.мурашки clf.по clf.коже
в ноябрь будет год как я официально работать переводчик	ноябрь переводчик год будет работать я официально работать	ноябрь официальный 1ps работать2 переводчик уже <nums> год
я ждать твой звонок но ты я не позвонить	ждать позвонить я ваш я я звонок	1ps ждать2 когда2 3ps звонить.по.телефону 1ps 2ps тоже 3ps звонить.по.телефону 1ps нет2
рядом с печень желчный пузырь который удерживать желчь до необходимый момент	необходимый рядом желчь желчь желчь пузырь желчь который желчь	печень рядом <dact> <dact> clf clf.желчный clf.пузырь indx <dact> действие оставить нужно clf clf.желчь clf.убрать
лев лишь рассмеяться	рассмеяться лев	смеяться3 лев смеяться смеяться3
интересно	интересно	интересный
я быстро получать обещать жилье но это быть маленький комнатка в коммуналка где сосед ввергать в шок при первый же встреча	первый я маленький получать это сосед ввергать жилье обеща	1ps быстрый получать дом это был маленький3 комната сосед pl квартира сосед pl все сумасшедший3 1ps взглянуть
осаня начинаться в конец октябрь в ноябрь или декабрь	начинаться декабрь конец октябрь осада ноябрь оканчиваться	всегда осень2 начинать октябрь последний3 ноябрь декабрь всегда изменить.направление
интересно так	интересно такой	интересный так
второй вариант частично да частично нет	второй частично частично частично частично вариант частично частично частично второй	второй половина да половина <dact> слабый
ничто из еда нет	еда ничто еж	еда indx pl ноль
я любить голубой цвет а мой сестра ненавидеть он	любить мой я он ненавидеть голубой сестра цвет	poss 1ps любить голубой цвет голубой poss 1ps сестра ненавидеть2
переводчик слушать речь и переводить на жестовый язык	говорить переводить переводчик речь жестовый переводчик язык переводить переводчик	переводчик слушать 3ps речь 1ps 2ps 1ps рассказывать.на.ржя рассказывать переводить рассказывать переводить
если бы у мы в школа россия знать что глухой ребенок из семья глухой свободно говорить на жестовый язык и он учить бы переход с жестовый язык на русский то в школа бы привыкать обучать на жестовый и у ребенок быть бы грамотный русский язык	язык жестовый привыкать говорить язык глухой язык свободно язык русский язык бы	что если б-ы poss 1ps россия площадь б-ы школа вокруг знать ребенок глухой семья глухой говорить на жестовом языке <dact> переезд школа б-ы привычка обучать2 жестовый язык поменять грамотность poss 3ps русский язык
веселый	веселый	веселый
первый вариант принимать такой как быть	первый такой вариант быть принимать	первый принимать такой2 как есть
а если с реб нком в семья общаться при помощь устный речь а жестовый язык считать ненужный это не совсем CODA	речь ненужный общаться ненужный язык совсем речь это тихо язык	а если есть кто дети2 мама семья глухой ребёнок дети2 родиться слышащий говорить2 жестовый.язык не.нужно говорить2 беседовать poss 1ps кода indx нет indx
этот чувство доброта и любовь появляться в человек сам по себя	сам появляться доброта любовь человек себя этот чувство	чувство добрый любовь появляться человек автоматический согласие
когда я забеременеть то так же работать до последний а потом еще и на дом брать подработка	последний работать брать дом то я еще брать подработка зарабатывать	когда2 1ps беременность 1ps работать до <dact> приближаться плюс дом получать pl работать
как становиться эмоциональный энергичный воодушевлять свой жизнь	жизнь свой энергичный воодушевлять становиться эмоциональный свой	как стоять эмоция энергия воодушевление свой жизнь как
год он лечиться и выздоравливать	год он выдоравливать лечиться	год <nums> лечение заболеть здоровый
ты знать кто я	знать кто я кто знать ты	2ps знать кто 1ps
также природа выделять жир роль запасной энергоноситель т е поступать жир пойти на образование энергия но только в случай крайний энергодефицит	роль случай запасной поступать запасной также е т энергоноситель	успех и плюс природа 3ps давать 1ps электричество <dact> <dact> indx 3ps отправлять 1ps н-а основывать электричество только2 если 1ps электричество недоставать
заболевать	заболевать	заболеть
дедушка помогать антон они вместе записывать весь история семья	антон весь семья вместе записывать дедушка помогать они история	дедушка 1ps помогать 3ps <dact> вместе писать записать все история семья
на это мероприятие приглашаться весь дама и королева который хотеть повеселиться и отдыхать вместе со я принц это королевство сын король и наследник престол	принц это принц приглашаться я королевство вместе мероприятие принц король принц	это мероприятие праздник приглашать все девочка кто мечтать желание веселиться отдых 1ps вместе 3ps 1ps принц руководить это территория сын король наследство дать 1ps престол
дотащить он мешок в лес и раздавать подарок весь животное они очень обрадоваться	он они раздавать мешок обрадываться весь очень доставлять животное лес	clf clf.принести indx лес и подарок pl каждый животное2 подарок все возбуждение
на концерт	концерт	зал
он лежать мертвый в высокий трава и в сердце у он быть острый шип	высокий он быть лежать сердце острый мертвый шип  трав	о-н смерть трава clf clf.птица clf.упала clf.в clf.траву сердце птица2 indx был острый шип
женщина любить носить шуба они тоже защищать от ветер	женщина носить защищать ветер любить шуба они	женщина pl любить носить шуба2 тоже включать ветер защита
снег растаивать потому что выглядывать солнце	снег солнце выглядывать растаивать	снег таять почему солнце
этот конкурс следующий конкурс увидеть принимать участие	этот следующий принимать конкурс участие увидеть конкурс	indx соревнование следующий соревнование заметить3 это 2ps стараться принимать участие
если вы решать участвовать в конкурс быть бы хорошо если бы у вы уже быть готовый проект потому что так легко будет о н м рассказывать доказывать он нужность	быть будет хорошо уже он будет конкурс быть готовый доказывать уча	что любой соревнование принимающий участие желание б-ы проект все готовый легкий принимающий участие проект есть легкий принимающий участие 1ps рассказывать 2ps доказывать легкий
этот организация только для слышать ребенок CODA	этот организация слышать ребенок	indx это организация только <dact> дети2 слышащий кода
но помнить что масло бывать опасный	бывать опасный масло помнить	н-о помнить что если масло бывает это опасный
грубый	грубый	грубый
раз ты просить я подождать	раз просить я поджигать я просить ты	2ps просить 1ps ждать
наш сми за вс в то число и за размещение публикация хотеть получать деньги	получать хотеть размещение число публикация наш весь сми то деньги	у 1ps pl <dact> желание деньги нужда публиковать новости так ведомый деньги
самостоятельно выбирать ответ пожалуйста	выбирать ответ самостоятельно самостоятельно выбирать ответ скорректировать	сам2 нажать отвечать пожалуйста
