Russian	Predicted	Truth
потом я становиться искать какой-нибудь конкурс и наш л один который проводить среди слышать проводиться он два или три день в общий сложность	слышать проводить и сложность я и два потом он проводить	1ps искать соревнование indx говорить соревнование 1ps все включено это все включено говорить соревнование <nums> день <nums> день <nums> факт2 indx дактилировать
у я быть я крутой у я быть связь	я быть связь я крутой я у быть я у	1ps мочь круто 1ps связь2 есть
я тоже хотеть ходить на бал	хотеть тоже я ходить балтика на	1ps тоже желание посещать pl clf clf.пышная clf.юбка танцевать <dact>
мы знать это животное по мультфильм оно выглядеть так мило что мы и не думать о то что оно опасный а оно опасный	знать оно оно опасный а оно что знать выглядеть и оно так	знать вы животное2 мультфильм2 интересный clf clf.милая clf.пушистая clf.мордочка милый 3ps думать неопасный н-о 3ps опасный есть
наш организация существовать с го год	существовать год наш го организация с организация наш	это poss 1ps pl организация существовать уже <nums> год
видеть по-разному	видеть по-разному	видеть разный
второй шаг	второй шаг	второй шаг <dact>
что вообще мочь сделать мы счастливый легко и быстро	быстро что быстро сделать счастливый вообще мочь и быстро мы	как вообще что влиять на 1ps мочь мы делать счастье очень легко2 быстро2
подруга рассказывать о свой проблема я тоже поделиться свой	рассказывать тоже я свой поделиться о проблема подруга тоже свой	друг 3ps рассказывать 1ps собственность проблема2 3ps рассказывать 1ps 1ps тоже 1ps рассказывать 3ps делить
хорошо	хорошо	хорошо
немного зима посмотреть и лето быть	зима немного и посмотреть быть лето зима	немного зима смотреть2 лето есть
хитрый	глупый	хитрый
номер три это животное который называться древолаз	который номер животное этот называться три который леволаз образ	еще есть животное2 назвать <dact>
а человек видеть мир по-разному	видеть мир человек по-разному а	а человек pl видеть различный
в год в павловск построить ленинградский восстановительный центр	год в павловск ленинградский восстановительный построить в центр	смотреть <nums> год <nums> год павловск <dact> indx стройка clf ленинград восстанавливать центр
мой бабушка не любить гулять ночь	гулять ночь мой любить не бабушка	poss 1ps бабушка2 не.любить гулять ночь
нет так нет ну и ладно	нет и нет ну так и нет нормально нет ну	нет2 так нет2 н-у
такой человек называть элита	человек такой элита называть	новый все человек pl назвать <dact>
сейчас я видеть весь больше и больше небольшой команда который пытаться что-то делать как-то развиваться	видеть развиваться пытаться делать я и команда сейчас много я	сейчас всё 1ps видеть больше маленький3 команда и-п сам2 достигать так развивать
ребенок весь понимать	ребенок весь понимать	все дети понимать2.наизусть
няня весь собирать и выбрасывать а мальчик давать новый белый с блестящий мех	белый собирать новый и а давать няня белый выбрасыва	няня2 ладно собирать2 выбросить2 мальчик давать новый белый мех блестящий
для кто-то нужно утяжеление для кто-то чтобы быть разглаживание	для утяжеление кто-то для для чтобы быть нужно	<dact> кто тяжелый clf clf.волосы clf.тяжелые <dact> кто clf clf.волосы clf.гладкие clf clf.волосы clf.лежат clf clf.волосы что был
начальник говорить мы же готовый он взять у мы быть такой рабочий место но по факт человек с инвалидность никогда не пойд т на это место	начальник никогда пойти готовый но рабочий на человек взять быть	начальник говорить мы готовый принять такой место у 1ps есть приглашать но п-о факт2 никогда это место инвалид вступить.не
ты должный позвонить мама а то она будет беспокоиться	она быть беспокоиться то позвонить должный а мама то а	2ps должен мама 1ps звонить.по.телефону 3ps 3ps волнение будет
я сидеть в свой комната учиться не пойти но жить на что-то надо быть	быть на жить но я комната в пойти не надо что-то си	всегда2 сидеть комната учиться нет нужно деньги жизнь
я обращаться и в другой место например в вога и там я тоже оформлять письмо поддержка такой образ уже они у я быть несколько	и и обращаться я я и место я такой	другой pl посещаемость надеяться indx и 1ps тоже <dact> 1ps обращаться <dact> тоже indx 3ps поддерживать 1ps печать 1ps повезло clf clf.складывать clf.письма clf.вместе уже
я не нравиться яркий одежда	не яркий я нравиться одежда	1ps яркий светлый одежда2 не нравиться
глупый	глупый	дурак
сейчас для наш человек это возможность действительно заниматься любимый дело	сейчас это возможность для действительно человек заниматься дело наш любимый	сейчас мы человек pl это возможность действительно работа любить работа
если педагог видеть что он разговаривать хорошо и весь понимать то он без проблема идти в отделение и учиться год	и видеть и хорошо отделение если и и видеть в	если смотреть ребенок разговаривать2 хорошо понимать все <nums> подразделение год <nums> учить2 не
потом домой приходить и мама просить еще урок проводить	просить потом проводить домой и еще просить урок приходить мама	домой мама еще считать3 уроки
например двое мой ребенок говорить на жестовый язык	говорить язык мой жестовый ребенок двое например на	дополнение пример poss 1ps дети <nums> глухой не говорить на жестовом языке
почему у мы в россия это не популярный	популярный россия почему у не это в мы это	1ps россия популярный нет2 почему
журналист просто бер т этот новость и публиковать на сайт с красивый картинка	этот и на публиковать т просто новость сайт с красивый журналист картинка	1ps взять публиковать 1ps отправлять 3ps <dact> красивый картина
я жить в краснодарский край	жить край краснодарский я в	1ps жить кавказ место краснодар территория
нужно изучать основа чтобы иметь общий пердставление о они чтобы экскурсовод мочь об этоя рассказывать	чтобы рассказывать о они нужно общий рассказывать чтобы пердставление	основной2 нужда изучать что общий получать воображение 3ps pl рассказ indx будет экскурсия человек экскурсия человек
я вы совсем не знать но я кажется готовый смотреть в ваш глаз вечность	кажется знать смотреть но я я совсем ваш в не готовый глаз	дорогой девочка знакомый не 1ps 2ps совсем не знать н-о 1ps казаться 1ps poss 2ps глаз pl готовый зрительный.контакт вечность
а этот мужчина быть сантехник который чинить прорыв канализация и который обливать дерьмо тома давать он халат муж и разрешать подождать пока он привозить чистый вещь	который и который он привозить и этот разрешать вещь	а мужчина2 это кто сантехник <dact> сантехник 1ps исправлять 3ps туалет канализация clf clf.облило clf.из clf.канализации грязь туалет <dact> для халат муж и зафиксировать пока приносить чистый poss 3ps одежда3
скоро быть праздник	скоро быть праздник	скоро будет праздник
пока спасатель ехать мальчик сидеть рядом и следить	спасатель рядом следить мальчик ехать пока сидеть и	пока спасать clf clf.человек clf.прийти 3ps мальчик рядом следить н-о жалость
весь целый весь пока	целое пока весь весь	воздушный.поцелуй аплодисменты
усердный	усердный	усердно.трудиться
открываться дверь	открываться дверь	открывать.дверь
он мочь бить себя по грудь или по стол пытаться показывать что он плохо и нужный помощь	и он себя пытаться показывать по стол мочь бить помощь	получаться 3ps clf clf.хлопать clf.по clf.грудь clf clf.хлопать clf.по clf.стол тоже показывать все 3ps помогать 1ps тоже плохой
представлять что инициативный группа хотеть разрабатывать проект который помогать избавляться от этот проблема и не давать она развиваться	инициативный разрабатывать группа этот помогать который что не проект развиваться	ладно группа гап делать indx проект проблема2 убирать живот развитие нет проблема убирать
жертва это когда вс что ты делать ты делать в ущерб себя	когда делать в ущерб делать себя это все что делать в	<dact> называть <dact> что делать 1ps делать отдавать.себя себе думать нет
медвежонок плыть на льдина	медвежонок на ледина плыть	медведь маленький3 clf clf.круглый clf.предмет clf.плыть clf clf.толстый clf.лед <dact> clf clf.запрыгнуть clf clf.на clf.четырех clf.лапах плыть
я этот никто не учить	этот я не никто учить	1ps научить 1ps никто
например дма она заставлять она делать самый тяжелый работая	тяжелый работать заставлять она дма самый например она делать	например дом самый сложный тяжелый труд clf clf.сесть clf.на clf.шею
на улица быть тепло и мальчик хотеть пойти гулять однако начинаться дождь	и дождь однако пойти гулять на улица быть дождь мальчик	indx смотреть улица теплота мальчик желание выходить гулять начать дождь
смотреть на вы	вы на смотреть ось	смотреть 2ps
что там	там что там	что indx
он облизываться	он обливать	вкус облизывать
идентичность я глухой и ты глухой	глухой глухой я идентичность глухой и глухой я ты глухой	следующий2 яг 1ps одинаковый 2ps 1ps глухой кровь2 2ps глухой 1ps одинаковый 2ps
если весь быть копить не нужно откладывать на всякий случай	случай всякий копить откладывать если на не весь нужно бы	копить 1ps копить не.нужно все есть это запас вклад
сура в адаптис плохой перевод в субтитр такой замечание	субтитр в в такой плохой перевод сур адаптис замечание кардитр	<dact> <dact> плохой субтитры перевод плохой замечание2
у я нет сила	у нет сила я я	1ps сила дефицит
этот верхний пункт сокращать но затратный ресурс быть всегда	этот всегда быть сокращать но пункт верхний всегда ресурс затратный это	это clf clf.деньги clf.уменьшаться <nums> расходы <dact> всегда постоянный тратить pl
здесь жить дружно поколение старший бабушка и дедушка средний мама и папа и младший ребенок катя и антон	и антон жить и и и и и сын з	indx дружба жить вместе <nums> поколение старший бабушка2 дедушка второй мама папа третий младший дети <dact> <dact>
я должный завершать еще пара важный дело пока	еще важный пока я должный дело завершать пара пока	1ps должен конец <nums> важный дело пока
понятно	понятно	понятый
сегодня мы продолжать разбирать программа slim	продолжать разбирать мы сегодня программа slim	сегодня2 продолжать <nums> исследовать <nums> д <dact>
но сначала давать разбираться как усваиваться пища	разбираться но пища усваиваться сначала давать как разбираться	н-о исследовать <dact> 1ps еда воспринимать <dact>
рассказывать еще	рассказывать еще еще	жестовый язык кто еще был рассказывать
терять	терять	потерять2
он приносить одеяло из дом и накрывать собака обращаться к взрослый за помощь	и взрослый приносить дом собака обращаться к дом из за одеяло	одеяло дом clf clf.взять clf.принести одеяло обращаться взрослый помогать 3ps 3ps
даже мэр город приезжать чтобы успокаивать мальчик	мэр приезжать успокаивать даже город чтобы приезжать мальчик успокаивать	и даже <dact> город поехать гость 3ps 3ps успокоить 3ps 3ps pl
например компьютер ноутбук проектор стул стол и всякий вещь	и всякий вещь например стол кресло проектор компьютер всякий	пример компьютер ноутбук проектор мелочь стул pl стол был
здравствовать	здравствовать	здравствуйте
сейчас я объяснять как и что	объяснять я и сейчас как что я	1ps сегодня2 1ps рассказывать 2ps что <dact> это
она просыпаться и она быть очень тесно	она очень быть она и просыпаться тесно она	проснуться и тесный был нормальный тесный
идти дождь и мы решать оставаться дом и посмотреть фильм	оставаться решать и посмотреть дом идти дождь и фильм оставаться мы	дождь 1ps думать решать оставаться дом и смотреть2 фильм2
весь что она удаваться находить это работа дворник в соседний двор но больший она и не нужно быть главное что хватать платить за квартира а на ехать она надо быть совсем немного потому что она почти ничто не есть и похудеть до неузнаваемость	и квартира и быть находить соседний и а ни	и все что мочь2 успех только2 работать дворник сосед indx территория н-о дворник достаточно квартира платить есть деньги еда должен нет много <dact> чуть-чуть еда нет ничего2 худеть видеть лицо узнать нет
кто она резать	она резать кто	3ps кто 3ps разрезать 1ps
что вообще представлять себя этот организация и зачем она нужный	себя представлять зачем нужный организация вообще что этот она и	это организация здесь для что
видимо становиться больше сажать культура и из-за большой количество урожай он становиться собираться поздно	большой становиться собираться урожай культура поздно и из-за большой	больше clf clf.сажать clf.в clf.землю урожай собирать2 выше начинать позже собирать2
в это место очень много турист благодаря то что здесь много исторический здание	благодаря здесь много этот очень исторический в много место что турист очень	это место много 3ps приезжать путешествие <dact> почему это место2 много исторический clf музей разный
семья это много домашний работа	много семья домашний это работать хорошо	семья это много дом работать
но я никогда не встречать	встречать никогда но не я я	1ps встречаться никогда
потому что нет общение нет любовь и понимание и он быть просто как собачка это очень страшно а у тот трое быть семья любовь общение и вот это реально до мурашки	и и очень просто собачка вот и нет а быть	общение ноль2 любовь ноль2 обнимать ноль2 игнорировать2 одинаковый собака2 clf clf.собака clf.прислушивается папа иса indx боль 3ps pl общение это 3ps pl 3ps pl спасибо общение делить думать сохранение понимать спасибо папа папа 3ps clf clf.мурашки clf.по clf.коже
в ноябрь будет год как я официально работать переводчик	переводчик быть год ноябрь официально работать я в как я	ноябрь официальный 1ps работать2 переводчик уже <nums> год
я ждать твой звонок но ты я не позвонить	ждать но я звонок не я твой позвонить он	1ps ждать2 когда2 3ps звонить.по.телефону 1ps 2ps тоже 3ps звонить.по.телефону 1ps нет2
рядом с печень желчный пузырь который удерживать желчь до необходимый момент	до удерживать который желчь момент желчный пузырь желчный с необходимый	печень рядом <dact> <dact> clf clf.желчный clf.пузырь indx <dact> действие оставить нужно clf clf.желчь clf.убрать
лев лишь рассмеяться	лев лишь рассмеяться	смеяться3 лев смеяться смеяться3
интересно	интересный	интересный
я быстро получать обещать жилье но это быть маленький комнатка в коммуналка где сосед ввергать в шок при первый же встреча	где я ввергать в встреча обещать быстро но при сосед жилье	1ps быстрый получать дом это был маленький3 комната сосед pl квартира сосед pl все сумасшедший3 1ps взглянуть
осаня начинаться в конец октябрь в ноябрь или декабрь	конец декабрь начинаться октябрь в декабрь в ноябрь осада ко	всегда осень2 начинать октябрь последний3 ноябрь декабрь всегда изменить.направление
интересно так	так интересно так	интересный так
второй вариант частично да частично нет	вариант частично второй частично нет да да второй	второй половина да половина <dact> слабый
ничто из еда нет	нет еда из ничто еб	еда indx pl ноль
я любить голубой цвет а мой сестра ненавидеть он	любить мой голубой ненавидеть я а цвет он сестра я	poss 1ps любить голубой цвет голубой poss 1ps сестра ненавидеть2
переводчик слушать речь и переводить на жестовый язык	жестовый переводчик на и переводить переводчик слушать язык речь речь перевод	переводчик слушать 3ps речь 1ps 2ps 1ps рассказывать.на.ржя рассказывать переводить рассказывать переводить
если бы у мы в школа россия знать что глухой ребенок из семья глухой свободно говорить на жестовый язык и он учить бы переход с жестовый язык на русский то в школа бы привыкать обучать на жестовый и у ребенок быть бы грамотный русский язык	быть язык жестовый русский быть и быть на у говорить и	что если б-ы poss 1ps россия площадь б-ы школа вокруг знать ребенок глухой семья глухой говорить на жестовом языке <dact> переезд школа б-ы привычка обучать2 жестовый язык поменять грамотность poss 3ps русский язык
веселый	веселый	веселый
первый вариант принимать такой как быть	вариант первый такой как быть принимать	первый принимать такой2 как есть
а если с реб нком в семья общаться при помощь устный речь а жестовый язык считать ненужный это не совсем CODA	а речь жестовый если не а Cod это не а помощь	а если есть кто дети2 мама семья глухой ребёнок дети2 родиться слышащий говорить2 жестовый.язык не.нужно говорить2 беседовать poss 1ps кода indx нет indx
этот чувство доброта и любовь появляться в человек сам по себя	появляться любовь по чувство сам доброта в человек себя этот и	чувство добрый любовь появляться человек автоматический согласие
когда я забеременеть то так же работать до последний а потом еще и на дом брать подработка	когда потом работать я дом еще и а так до на	когда2 1ps беременность 1ps работать до <dact> приближаться плюс дом получать pl работать
как становиться эмоциональный энергичный воодушевлять свой жизнь	воодушевлять свой энергичный жизнь становиться как эмоциональный выражательный	как стоять эмоция энергия воодушевление свой жизнь как
год он лечиться и выздоравливать	выдоравливать и лечиться он год	год <nums> лечение заболеть здоровый
ты знать кто я	знать кто я я мы	2ps знать кто 1ps
также природа выделять жир роль запасной энергоноситель т е поступать жир пойти на образование энергия но только в случай крайний энергодефицит	роль также случай т энергодефицит поступать на только т	успех и плюс природа 3ps давать 1ps электричество <dact> <dact> indx 3ps отправлять 1ps н-а основывать электричество только2 если 1ps электричество недоставать
заболевать	заболевать	заболеть
дедушка помогать антон они вместе записывать весь история семья	антон весь история записывать вместе семья помогать дедушка они	дедушка 1ps помогать 3ps <dact> вместе писать записать все история семья
на это мероприятие приглашаться весь дама и королева который хотеть повеселиться и отдыхать вместе со я принц это королевство сын король и наследник престол	принц наследник принц и принц и принц я принц и со приглашаться	это мероприятие праздник приглашать все девочка кто мечтать желание веселиться отдых 1ps вместе 3ps 1ps принц руководить это территория сын король наследство дать 1ps престол
дотащить он мешок в лес и раздавать подарок весь животное они очень обрадоваться	обрадоваться очень раздавать весь лес они подарок он и мешок	clf clf.принести indx лес и подарок pl каждый животное2 подарок все возбуждение
на концерт	на концерт	зал
он лежать мертвый в высокий трава и в сердце у он быть острый шип	лежать он и у в мертвый он высокий шипов быть	о-н смерть трава clf clf.птица clf.упала clf.в clf.траву сердце птица2 indx был острый шип
женщина любить носить шуба они тоже защищать от ветер	от защищать они носить тоже любить ветер женщина шуба буш	женщина pl любить носить шуба2 тоже включать ветер защита
снег растаивать потому что выглядывать солнце	что потому снег выпаглядеть солнце растаивать	снег таять почему солнце
этот конкурс следующий конкурс увидеть принимать участие	этот следующий конкурс принимать участие увидеть конкурс плакат участие	indx соревнование следующий соревнование заметить3 это 2ps стараться принимать участие
если вы решать участвовать в конкурс быть бы хорошо если бы у вы уже быть готовый проект потому что так легко будет о н м рассказывать доказывать он нужность	быть если о уже готовый быть быть хорошо если бы	что любой соревнование принимающий участие желание б-ы проект все готовый легкий принимающий участие проект есть легкий принимающий участие 1ps рассказывать 2ps доказывать легкий
этот организация только для слышать ребенок CODA	этот организация слышать для только CO ребенок для	indx это организация только <dact> дети2 слышащий кода
но помнить что масло бывать опасный	что но бывать опасный масло помнить	н-о помнить что если масло бывает это опасный
грубый	грубый	грубый
раз ты просить я подождать	раз поджигать просить я поджигать раз я ты просить	2ps просить 1ps ждать
наш сми за вс в то число и за размещение публикация хотеть получать деньги	за размещение и за деньги в хотеть публикация число получать м	у 1ps pl <dact> желание деньги нужда публиковать новости так ведомый деньги
самостоятельно выбирать ответ пожалуйста	выбирать самостоятельно ответ пожалуйста	сам2 нажать отвечать пожалуйста
благодаря сплоченность весь команда они выигрывать	благодаря команда выигрывать весь сплоченность они	спасибо команда дружба 3ps pl найти
