ВОКРУГ
следующий есть мнение что мир2 глухой внутри есть глухой кто семья глухой поколение indx культура глухой впитать мир глухой впитать indx забота жестовый.язык2 ценность жестовый.язык	Бытует мнение, что в семьях, где глухота передается из поколения в поколение, культура глухих изучается с младенчества, что они уважают и ценят жестовый язык.
внутри clf:станок.стоять <unk> clf:станок.форма.длинный	Внутри стоит станок
indx тема2 какой это <unk> какой это <unk> <unk> это для2 poss :3ps <unk> говорить на жестовом языке 3ps: воспринимать :1ps говорить на жестовом языке 3ps: воспринимать :1ps переключаться написать использовать искусственный.интеллект внутри тема2 prtcl	Сейчас я занимаюсь инскусственным интеллектом, т.е. тем, как он распознает жестовый язык и переводит его в текст; такая вот у меня тема.
внутри есть слабослышащий2 глухой poss :3ps	Они подразделяются на слабослышащих и глухих детей.
внутри indx интеллект нарушение не иметь	У них нет нарушения интеллекта.
строчка слово точно смысл внутри необходимость откуда уже	Нужно искать точную формулировку и смысл.
poss :2ps ребенок должен к школа уже знать множественный слово <unk> <unk> время школа внутри не2 до школа	Ваш ребенок должен уже знать много слово к школе, не во время, а до нее. 
у :3ps преподавание вокруг есть печать способ <unk> обучать дети2 и внутри список не иметь жестовый язык <unk>	У преподавателей есть стандартный способ обучения детей, но в фгос жестового языка нет.
indx чувство что есть необходимость внутри проблема2 :pl есть какой	Я чувтсвовала что в самом проекте есть какие-то проблемы.
вопрос внутри мир2 глухой связать есть связать тесный2 крепкий связать или слабый связать так.себе	Вопрос: "сильна ли внутренняя связь мира глухих?"
ВПЕРЕДИ
девочка правильно впереди тоже	Девочка правильно двигалась вперед.
девочка правильно впереди тоже	Девочка правильно двигалась вперед.
НАЗАД
indx обратно назад назад	Оставьте слайд, а нет, назад и еще назад.
обратно :pl назад назад	Верните слайд, еще назад.
если назад плечо есть человек :pl вокруг облегчать продолжать вперед шаг :pl	Если у вас за спиной есть люди, вам будет дальше легче двигаться вперед.
НИЖЕ
мнение внутри2 что пример когда indx учиться читать2 любой полезный заниматься нет indx начинать себя ниже мозг2 переключаться indx	Если не читать, не учиться, не делать ничего полезного, то можно опустить на уровень ниже, потому что мозг переключается.
школа глухой ниже тупик	Школа глухих и все
ниже проблема проблема что дети2 живот <unk> мочь рассказывать	Ниже это проблемы, например, у детей болят животы, вы их решили, а дальше можете рассказывать.
РЯДОМ
потому что пример человек желание худеть <unk> не мочь 3ps: мешать :1ps люди рядом indx есть2 смеяться indx тоже желание кушать терпеть кушать тюрьма prtcl	Например, человек хочет похудеть, но не может: все в его окружении кушают и мешают ему, соотвественно, ему тоже хочется кушать.
у :1ps есть 1 мой рядом чистота глухой <unk> <unk> омск <unk>	 у меня есть одна моя знакомая, "чисто" глухая, даша из омска.
переводчик был prtcl рядом sn <unk> 3ps: приходить :2ps	Моим переводчиком была елена сергеевна минаева.
сейчас pos s1ps пора уходить река рядом место	Нам уже пора идти к ручью.
когда они уже место река рядом лев сын мама обращение спрашивать мочь indx плавание	Когди они пришли к реке, львенок спросил у мамы: "мама, можно я искупаюсь?"
и indx москва indx жизнь метро рядом метро <unk>	Я живу в москве, рядом со станцией метро достоевская
родиться где родиться <unk> indx рядом город2 <unk> сейчас indx смоленск область	Родился в городе гагарин, сейчас это смоленская область.
<unk> когда2 ребенок узнать слово <unk> <unk> под <unk> рядом <unk> <unk> <unk> под <unk>	Когда ребенок узнает эти слова: на столе, под столом, стола, столик, столики, под столами?
если интеллект сильный ребенок indx мочь рядом бросать с переводчик clf:человек indx	Если ребенок сильный, вы можете его отдать туда, где рядом с ним будет переводчик.
мнение не иметь поэтому indx рядом необходимость добиваться	У нас нет догадок сколько он будет существовать, поэтому вам нужно добиваться.
рядом каждый :pl собственный ложка длинный средний clf:кормить.ложкой короткий clf:кормить.ложкой	Рядом с каждой миской лежало по ложке: большая, средняя и маленькая.
