,Unnamed: 0,id,text,analysis,pos
24,24,26,Ч,"[{'text': 'Ч', 'analysis': [{'wt': 1, 'lex': 'ч', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
25,25,27,Ш,"[{'text': 'Ш', 'analysis': [{'wt': 1, 'lex': 'ш', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
26,26,28,Щ,"[{'text': 'Щ', 'analysis': [{'wt': 1, 'lex': 'щ', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
27,27,29,Ъ,"[{'text': 'Ъ', 'analysis': []}]",DACTYL
28,28,30,Ы,"[{'text': 'Ы', 'analysis': [{'wt': 1, 'lex': 'ы', 'gr': 'S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
29,29,31,Ь,"[{'text': 'Ь', 'analysis': []}]",DACTYL
30,30,32,Э,"[{'text': 'Э', 'analysis': [{'wt': 0.9863730669, 'lex': 'э', 'gr': 'INTJ='}]}]",DACTYL
31,31,33,Ю,"[{'text': 'Ю', 'analysis': [{'wt': 1, 'lex': 'ю', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
32,32,34,Я,"[{'text': 'Я', 'analysis': [{'wt': 0.9999716282000001, 'lex': 'я', 'gr': 'SPRO,ед,1-л=им'}]}]",DACTYL
33,33,35,бежевый,"[{'text': 'бежевый', 'analysis': [{'wt': 1, 'lex': 'бежевый', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
34,34,36,белый,"[{'text': 'белый', 'analysis': [{'wt': 0.972589314, 'lex': 'белый', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
35,35,37,цвет,"[{'text': 'цвет', 'analysis': [{'wt': 0.9999979138, 'lex': 'цвет', 'gr': 'S,муж,неод=(вин,ед|им,ед)'}]}]",S
36,36,38,желтый,"[{'text': 'желтый', 'analysis': [{'wt': 1, 'lex': 'желтый', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
37,37,39,зеленый,"[{'text': 'зеленый', 'analysis': [{'wt': 1, 'lex': 'зеленый', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
38,38,40,золотой,"[{'text': 'золотой', 'analysis': [{'wt': 0.9927623272, 'lex': 'золотой', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)'}]}]",A
39,39,41,коричневый,"[{'text': 'коричневый', 'analysis': [{'wt': 1, 'lex': 'коричневый', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
40,40,42,красный,"[{'text': 'красный', 'analysis': [{'wt': 0.9899321198000001, 'lex': 'красный', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
41,41,43,прозрачный,"[{'text': 'прозрачный', 'analysis': [{'wt': 1, 'lex': 'прозрачный', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
42,42,44,черный,"[{'text': 'черный', 'analysis': [{'wt': 0.9886454344000001, 'lex': 'черный', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
43,43,45,оранжевый,"[{'text': 'оранжевый', 'analysis': [{'wt': 1, 'lex': 'оранжевый', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
44,44,46,розовый,"[{'text': 'розовый', 'analysis': [{'wt': 1, 'lex': 'розовый', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
45,45,48,серебряный,"[{'text': 'серебряный', 'analysis': [{'wt': 1, 'lex': 'серебряный', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
46,46,49,серый,"[{'text': 'серый', 'analysis': [{'wt': 1, 'lex': 'серый', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
47,47,50,синий,"[{'text': 'синий', 'analysis': [{'wt': 1, 'lex': 'синий', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
48,48,51,тусклый,"[{'text': 'тусклый', 'analysis': [{'wt': 1, 'lex': 'тусклый', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
49,49,52,темный,"[{'text': 'темный', 'analysis': [{'wt': 1, 'lex': 'темный', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
50,50,53,фиолетовый,"[{'text': 'фиолетовый', 'analysis': [{'wt': 1, 'lex': 'фиолетовый', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
51,51,54,Мама,"[{'text': 'Мама', 'analysis': [{'wt': 1, 'lex': 'мама', 'gr': 'S,жен,од=им,ед'}]}]",S
52,52,55,Папа ,"[{'text': 'Папа', 'analysis': [{'wt': 0.9996149540000001, 'lex': 'папа', 'gr': 'S,муж,од=им,ед'}]}]",S
53,53,56,Дядя,"[{'text': 'Дядя', 'analysis': [{'wt': 1, 'lex': 'дядя', 'gr': 'S,муж,од=им,ед'}]}]",S
54,54,57,Дочь,"[{'text': 'Дочь', 'analysis': [{'wt': 1, 'lex': 'дочь', 'gr': 'S,жен,од=(вин,ед|им,ед)'}]}]",S
55,55,58,Сын,"[{'text': 'Сын', 'analysis': [{'wt': 1, 'lex': 'сын', 'gr': 'S,муж,од=им,ед'}]}]",S
56,56,59,Брат,"[{'text': 'Брат', 'analysis': [{'wt': 1, 'lex': 'брат', 'gr': 'S,муж,од=им,ед'}]}]",S
57,57,60,Сестра,"[{'text': 'Сестра', 'analysis': [{'wt': 1, 'lex': 'сестра', 'gr': 'S,жен,од=им,ед'}]}]",S
58,58,61,Ребенок,"[{'text': 'Ребенок', 'analysis': [{'wt': 1, 'lex': 'ребенок', 'gr': 'S,муж,од=им,ед'}]}]",S
59,59,62,Тетя,"[{'text': 'Тетя', 'analysis': [{'wt': 1, 'lex': 'тетя', 'gr': 'S,жен,од=им,ед'}]}]",S
60,60,63,Племянник,"[{'text': 'Племянник', 'analysis': [{'wt': 1, 'lex': 'племянник', 'gr': 'S,муж,од=им,ед'}]}]",S
61,61,64,Племянница,"[{'text': 'Племянница', 'analysis': [{'wt': 1, 'lex': 'племянница', 'gr': 'S,жен,од=им,ед'}]}]",S
62,62,65,Бабушка,"[{'text': 'Бабушка', 'analysis': [{'wt': 1, 'lex': 'бабушка', 'gr': 'S,жен,од=им,ед'}]}]",S
63,63,66,Дедушка,"[{'text': 'Дедушка', 'analysis': [{'wt': 1, 'lex': 'дедушка', 'gr': 'S,муж,од=им,ед'}]}]",S
64,64,67,Родители,"[{'text': 'Родители', 'analysis': [{'wt': 0.99631387, 'lex': 'родитель', 'gr': 'S,муж,од=им,мн'}]}]",S
65,65,68,будущие родители,"[{'text': 'будущие', 'analysis': [{'wt': 0.8596907854, 'lex': 'будущий', 'gr': 'A=(вин,мн,полн,неод|им,мн,полн)'}]}, {'text': ' '}, {'text': 'родители', 'analysis': [{'wt': 0.99631387, 'lex': 'родитель', 'gr': 'S,муж,од=им,мн'}]}]",S
66,66,70,Дети,"[{'text': 'Дети', 'analysis': [{'wt': 1, 'lex': 'ребенок', 'gr': 'S,муж,од=им,мн'}]}]",S
67,67,71,Двоюродный,"[{'text': 'Двоюродный', 'analysis': [{'wt': 1, 'lex': 'двоюродный', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
68,68,72,внучка,"[{'text': 'внучка', 'analysis': [{'wt': 0.9772197008000001, 'lex': 'внучка', 'gr': 'S,жен,од=им,ед'}]}]",S
69,69,73,Приемный,"[{'text': 'Приемный', 'analysis': [{'wt': 1, 'lex': 'приемный', 'gr': 'A=(вин,ед,полн,муж,неод|им,ед,полн,муж)'}]}]",A
70,70,74,Друг,"[{'text': 'Друг', 'analysis': [{'wt': 1, 'lex': 'друг', 'gr': 'S,муж,од=им,ед'}]}]",S
71,71,75,Внук,"[{'text': 'Внук', 'analysis': [{'wt': 0.9942646027, 'lex': 'внук', 'gr': 'S,муж,од=им,ед'}]}]",S
72,72,76,1 миллион,"[{'text': '1'}, {'text': ' '}, {'text': 'миллион', 'analysis': [{'wt': 0.9907245636, 'lex': 'миллион', 'gr': 'S,муж,неод=(вин,ед|им,ед)'}]}]",NUM
73,73,77,10 тысяч,"[{'text': '10'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
74,74,78,1000,[{'text': '1000'}],NUM
75,75,79,100,[{'text': '100'}],NUM
76,76,80,1,[{'text': '1'}],NUM
77,77,81,2,[{'text': '2'}],NUM
78,78,82,3,[{'text': '3'}],NUM
79,79,83,4,[{'text': '4'}],NUM
80,80,84,5,[{'text': '5'}],NUM
81,81,85,6,[{'text': '6'}],NUM
82,82,86,7,[{'text': '7'}],NUM
83,83,87,8,[{'text': '8'}],NUM
84,84,88,9,[{'text': '9'}],NUM
85,85,89,10,[{'text': '10'}],NUM
86,86,90,11,[{'text': '11'}],NUM
87,87,91,12,[{'text': '12'}],NUM
88,88,92,13,[{'text': '13'}],NUM
89,89,93,14,[{'text': '14'}],NUM
90,90,94,15,[{'text': '15'}],NUM
91,91,95,16,[{'text': '16'}],NUM
92,92,96,17,[{'text': '17'}],NUM
93,93,97,18,[{'text': '18'}],NUM
94,94,98,19,[{'text': '19'}],NUM
95,95,99,20,[{'text': '20'}],NUM
96,96,100,20 тысяч,"[{'text': '20'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
97,97,101,21,[{'text': '21'}],NUM
98,98,102,22,[{'text': '22'}],NUM
99,99,103,23,[{'text': '23'}],NUM
100,100,104,24,[{'text': '24'}],NUM
101,101,105,25,[{'text': '25'}],NUM
102,102,106,26,[{'text': '26'}],NUM
103,103,107,27,[{'text': '27'}],NUM
104,104,108,28,[{'text': '28'}],NUM
105,105,109,29,[{'text': '29'}],NUM
106,106,110,30,[{'text': '30'}],NUM
107,107,111,3 тысячи,"[{'text': '3'}, {'text': ' '}, {'text': 'тысячи', 'analysis': [{'wt': 0.9991429448, 'lex': 'тысяча', 'gr': 'S,жен,неод=(вин,мн|род,ед|им,мн)'}]}]",NUM
108,108,112,30 тысяч,"[{'text': '30'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
109,109,113,300 тысяч,"[{'text': '300'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
110,110,114,4 тысячи,"[{'text': '4'}, {'text': ' '}, {'text': 'тысячи', 'analysis': [{'wt': 0.9991429448, 'lex': 'тысяча', 'gr': 'S,жен,неод=(вин,мн|род,ед|им,мн)'}]}]",NUM
111,111,115,40,[{'text': '40'}],NUM
112,112,116,40 тысяч,"[{'text': '40'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
113,113,117,400 тысяч,"[{'text': '400'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
114,114,118,5 тысяч,"[{'text': '5'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
115,115,119,50,[{'text': '50'}],NUM
116,116,120,50 тысяч,"[{'text': '50'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
117,117,121,500,[{'text': '500'}],NUM
118,118,122,500 тысяч,"[{'text': '500'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
119,119,123,6 тысяч,"[{'text': '6'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
120,120,124,60,[{'text': '60'}],NUM
121,121,125,60 тысяч,"[{'text': '60'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
122,122,126,600 тысяч,"[{'text': '600'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
123,123,127,7 тысяч,"[{'text': '7'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
124,124,128,70,[{'text': '70'}],NUM
125,125,129,70 тысяч,"[{'text': '70'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
126,126,130,700 тысяч,"[{'text': '700'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
127,127,131,8 тысяч,"[{'text': '8'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
128,128,132,80,[{'text': '80'}],NUM
129,129,133,80 тысяч,"[{'text': '80'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
130,130,134,800 тысяч,"[{'text': '800'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
131,131,135,9 тысяч,"[{'text': '9'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
132,132,136,90,[{'text': '90'}],NUM
133,133,137,90 тысяч,"[{'text': '90'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
134,134,138,900 тысяч,"[{'text': '900'}, {'text': ' '}, {'text': 'тысяч', 'analysis': [{'wt': 0.9978592396, 'lex': 'тысяча', 'gr': 'S,жен,неод=род,мн'}]}]",NUM
135,135,139,второй,"[{'text': 'второй', 'analysis': [{'wt': 0.9997099638, 'lex': 'второй', 'gr': 'ANUM=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен|вин,ед,муж,неод|им,ед,муж)'}]}]",ANUM
136,136,140,миллиард,"[{'text': 'миллиард', 'analysis': [{'wt': 0.9533145428, 'lex': 'миллиард', 'gr': 'S,муж,неод=(вин,ед|им,ед)'}]}]",S
137,137,141,ноль,"[{'text': 'ноль', 'analysis': [{'wt': 1, 'lex': 'ноль', 'gr': 'S,муж,неод=(вин,ед|им,ед)'}]}]",S
138,138,142,первый,"[{'text': 'первый', 'analysis': [{'wt': 1, 'lex': 'первый', 'gr': 'ANUM=(вин,ед,муж,неод|им,ед,муж)'}]}]",ANUM
139,139,143,боль,"[{'text': 'боль', 'analysis': [{'wt': 1, 'lex': 'боль', 'gr': 'S,жен,неод=(вин,ед|им,ед)'}]}]",S
140,140,144,злость,"[{'text': 'злость', 'analysis': [{'wt': 1, 'lex': 'злость', 'gr': 'S,жен,неод=(вин,ед|им,ед)'}]}]",S
141,141,145,беспокойство,"[{'text': 'беспокойство', 'analysis': [{'wt': 1, 'lex': 'беспокойство', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
142,142,146,вдохновение,"[{'text': 'вдохновение', 'analysis': [{'wt': 1, 'lex': 'вдохновение', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
143,143,147,гнев,"[{'text': 'гнев', 'analysis': [{'wt': 1, 'lex': 'гнев', 'gr': 'S,муж,неод=(вин,ед|им,ед)'}]}]",S
144,144,148,голод,"[{'text': 'голод', 'analysis': [{'wt': 1, 'lex': 'голод', 'gr': 'S,муж,неод=(вин,ед|им,ед)'}]}]",S
145,145,149,гордость,"[{'text': 'гордость', 'analysis': [{'wt': 1, 'lex': 'гордость', 'gr': 'S,жен,неод=(вин,ед|им,ед)'}]}]",S
146,146,150,горе,"[{'text': 'горе', 'analysis': [{'wt': 0.6463735104, 'lex': 'горе', 'gr': 'S,ед,сред,неод=(пр|вин|им)'}]}]",S
147,147,151,грусть,"[{'text': 'грусть', 'analysis': [{'wt': 1, 'lex': 'грусть', 'gr': 'S,жен,неод=(вин,ед|им,ед)'}]}]",S
148,148,152,доброта,"[{'text': 'доброта', 'analysis': [{'wt': 1, 'lex': 'доброта', 'gr': 'S,жен,неод=им,ед'}]}]",S
149,149,153,жадность,"[{'text': 'жадность', 'analysis': [{'wt': 1, 'lex': 'жадность', 'gr': 'S,жен,неод=(вин,ед|им,ед)'}]}]",S
150,150,154,жажда,"[{'text': 'жажда', 'analysis': [{'wt': 1, 'lex': 'жажда', 'gr': 'S,жен,неод=им,ед'}]}]",S
151,151,156,желание,"[{'text': 'желание', 'analysis': [{'wt': 1, 'lex': 'желание', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
152,152,157,зависть,"[{'text': 'зависть', 'analysis': [{'wt': 1, 'lex': 'зависть', 'gr': 'S,жен,неод=(вин,ед|им,ед)'}]}]",S
153,153,158,интерес,"[{'text': 'интерес', 'analysis': [{'wt': 1, 'lex': 'интерес', 'gr': 'S,муж,неод=(вин,ед|им,ед)'}]}]",S
154,154,159,испуг,"[{'text': 'испуг', 'analysis': [{'wt': 1, 'lex': 'испуг', 'gr': 'S,муж,неод=(вин,ед|им,ед)'}]}]",S
155,155,160,любовь,"[{'text': 'любовь', 'analysis': [{'wt': 0.9578824639, 'lex': 'любовь', 'gr': 'S,жен,неод=(вин,ед|им,ед)'}]}]",S
156,156,161,любопытство,"[{'text': 'любопытство', 'analysis': [{'wt': 1, 'lex': 'любопытство', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
157,157,162,надежда,"[{'text': 'надежда', 'analysis': [{'wt': 0.6792521477, 'lex': 'надежда', 'gr': 'S,жен,неод=им,ед'}]}]",S
158,158,163,объятие,"[{'text': 'объятие', 'analysis': [{'wt': 1, 'lex': 'объятие', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
159,159,164,отвращение,"[{'text': 'отвращение', 'analysis': [{'wt': 1, 'lex': 'отвращение', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
160,160,165,паника,"[{'text': 'паника', 'analysis': [{'wt': 1, 'lex': 'паника', 'gr': 'S,жен,неод=им,ед'}]}]",S
161,161,166,позор,"[{'text': 'позор', 'analysis': [{'wt': 1, 'lex': 'позор', 'gr': 'S,муж,неод=(вин,ед|им,ед)'}]}]",S
162,162,167,предрассудок,"[{'text': 'предрассудок', 'analysis': [{'wt': 1, 'lex': 'предрассудок', 'gr': 'S,муж,неод=(вин,ед|им,ед)'}]}]",S
163,163,168,презрение,"[{'text': 'презрение', 'analysis': [{'wt': 1, 'lex': 'презрение', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
164,164,169,радость,"[{'text': 'радость', 'analysis': [{'wt': 1, 'lex': 'радость', 'gr': 'S,жен,неод=(вин,ед|им,ед)'}]}]",S
165,165,170,расслабление,"[{'text': 'расслабление', 'analysis': [{'wt': 1, 'lex': 'расслабление', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
166,166,171,ревность,"[{'text': 'ревность', 'analysis': [{'wt': 1, 'lex': 'ревность', 'gr': 'S,жен,неод=(вин,ед|им,ед)'}]}]",S
167,167,172,слабость,"[{'text': 'слабость', 'analysis': [{'wt': 1, 'lex': 'слабость', 'gr': 'S,жен,неод=(вин,ед|им,ед)'}]}]",S
168,168,173,сожаление,"[{'text': 'сожаление', 'analysis': [{'wt': 1, 'lex': 'сожаление', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
169,169,174,сомнение,"[{'text': 'сомнение', 'analysis': [{'wt': 1, 'lex': 'сомнение', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
170,170,175,сочувствие,"[{'text': 'сочувствие', 'analysis': [{'wt': 1, 'lex': 'сочувствие', 'gr': 'S,сред,неод=(вин,ед|им,ед)'}]}]",S
